{'question': 'ما هو الغرض من استخدام نظام التعليق في مركبة؟', 'A': 'تحسين الراحة', 'B': 'تحسين المناولة', 'C': 'تقليل الاهتزازات', 'D': 'جميع الإجابات صحيحة', 'answer': 'D'}
{'question': 'ما هي العملية التي تحدث عند تحويل الطاقة الميكانيكية إلى طاقة كهربائية؟', 'A': 'التحويل الكهروميكانيكي', 'B': 'التحويل الكهروكيميائي', 'C': 'التحويل الكهرومغناطيسي', 'D': 'التحويل الكهروضوئي', 'answer': 'A'}
{'question': 'ما هي المادة الأكثر شيوعًا المستخدمة في صنع الموصلات؟', 'A': 'الذهب', 'B': 'الفضة', 'C': 'النحاس', 'D': 'الألمنيوم', 'answer': 'C'}
{'question': 'ما هو نوع المحرك الذي يحول الطاقة الكهربائية إلى طاقة حركية؟', 'A': 'المحرك الكهربائي', 'B': 'المحرك الحراري', 'C': 'المحرك الاحتراقي', 'D': 'محرك الديزل', 'answer': 'A'}
{'question': 'ما هو قانون نيوتن الثاني للحركة؟', 'A': 'القوة تساوي الكتلة مضروبة في التسارع', 'B': 'التسارع يتناسب طرديًا مع القوة المؤثرة', 'C': 'الفعل ورد الفعل متساويان في المقدار ومتعاكسان في الاتجاه', 'D': 'كل ما سبق', 'answer': 'D'}
{'question': 'ما هي الوحدة القياسية للتسارع في النظام الدولي للوحدات؟', 'A': 'متر لكل ثانية مربعة', 'B': 'كيلوغرام لكل متر مكعب', 'C': 'نيوتن لكل متر', 'D': 'جول لكل كيلوغرام', 'answer': 'A'}
{'question': 'ما هي الطاقة اللازمة لنقل جسم من حالة السكون إلى حالة الحركة؟', 'A': 'طاقة الوضع', 'B': 'طاقة الحركة', 'C': 'الطاقة الكامنة', 'D': 'الطاقة الحركية', 'answer': 'B'}
{'question': 'ما هو نوع الطاقة المخزنة في جسم متحرك؟', 'A': 'طاقة الوضع', 'B': 'طاقة الحركة', 'C': 'الطاقة الكامنة', 'D': 'طاقة حرارية', 'answer': 'B'}
{'question': 'ما هو القانون الذي يصف العلاقة بين طاقة الوضع وإحداثيات جسيم؟', 'A': 'قانون نيوتن الأول للحركة', 'B': 'قانون نيوتن الثاني للحركة', 'C': 'قانون نيوتن الثالث للحركة', 'D': 'قانون الحفاظ على الطاقة', 'answer': 'D'}
{'question': 'ما هو نوع التفاعل الذي يحدث بين جسيمين مشحونين؟', 'A': 'القوة الكهرومغناطيسية', 'B': 'القوة النووية القوية', 'C': 'القوة النووية الضعيفة', 'D': 'قوة الجاذبية', 'answer': 'A'}
{'question': 'ما هو اسم الجهاز المستخدم لقياس التيار الكهربائي؟', 'A': 'المقياس الكهربائي', 'B': 'المحول', 'C': 'المكثف', 'D': 'المقاوم', 'answer': 'A'}
{'question': 'ما هي وحدة قياس الجهد الكهربائي في النظام الدولي للوحدات؟', 'A': 'أمبير', 'B': 'فولت', 'C': 'أوم', 'D': 'واط', 'answer': 'B'}
{'question': 'ما هو قانون أوم؟', 'A': 'التيار يتناسب طرديًا مع الجهد ويُعاكس الجهد في الاتجاه', 'B': 'التيار يتناسب عكسيًا مع الجهد ويُعاكس الجهد في الاتجاه', 'C': 'التيار يتناسب طرديًا مع الجهد ويسير في نفس اتجاه الجهد', 'D': 'التيار يتناسب عكسيًا مع الجهد ويسير في نفس اتجاه الجهد', 'answer': 'C'}
{'question': 'ما هو مبدأ عمل المحرك الكهربائي؟', 'A': 'التفاعل بين المجال المغناطيسي الناتج عن التيار الكهربائي والمجال المغناطيسي الدائم', 'B': 'التفاعل بين المجالين الكهربائيين الناتجين عن التيارين الكهربائيين', 'C': 'التفاعل بين المجال المغناطيسي الناتج عن التيار الكهربائي والمجال الكهربائي الدائم', 'D': 'التفاعل بين المجالين المغناطيسيين الناتجين عن التيارين الكهربائيين', 'answer': 'A'}
{'question': 'ما هو نوع الطاقة التي يتم تحويلها في محرك احتراق داخلي؟', 'A': 'الطاقة الكهربائية إلى طاقة حركية', 'B': 'الطاقة الكيميائية إلى طاقة حركية', 'C': 'الطاقة النووية إلى طاقة حركية', 'D': 'الطاقة الحرارية إلى طاقة حركية', 'answer': 'B'}
{'question': 'ما هي المادة الأساسية المستخدمة في صنع محركات السيارة؟', 'A': 'الحديد', 'B': 'الألمنيوم', 'C': 'الصلب', 'D': 'المغنيسيوم', 'answer': 'C'}
{'question': 'ما هو الغرض من نظام التعليق في السيارة؟', 'A': 'امتصاص الصدمات والحفاظ على توازن السيارة', 'B': 'دفع السيارة إلى الأمام', 'C': 'توجيه السيارة', 'D': 'إيقاف السيارة', 'answer': 'A'}
{'question': 'ما هو نوع ناقل الحركة المستخدم في معظم السيارات ذات الدفع بالعجلات الأمامية؟', 'A': 'نقل حركة أمامي', 'B': 'نقل حركة خلفي', 'C': 'نقل حركة كامل', 'D': 'نقل حركة ثنائي', 'answer': 'A'}
{'question': 'ما هو مبدأ عمل نظام الفرامل؟', 'A': 'تحويل الطاقة الحركية إلى طاقة حرارية', 'B': 'تحويل الطاقة الحركية إلى طاقة كهربائية', 'C': 'تحويل الطاقة الحركية إلى طاقة كيميائية', 'D': 'تحويل الطاقة الحركية إلى طاقة نووية', 'answer': 'A'}
{'question': 'ما هي المادة المستخدمة في صنع بطاريات السيارات؟', 'A': 'الرصاص', 'B': 'الليثيوم', 'C': 'النيكل', 'D': 'الكادميوم', 'answer': 'A'}
{'question': 'ما هو نوع الطائرة التي تستخدم في معظم الرحلات الجوية التجارية؟', 'A': 'طائرة نفاثة', 'B': 'طائرة مروحية', 'C': 'طائرة شراعية', 'D': 'طائرة برمائية', 'answer': 'A'}
{'question': 'ما هو مبدأ عمل نظام الملاحة بالقصور الذاتي؟', 'A': 'استخدام أجهزة الاستشعار لقياس تسارع الطائرة وموقعها', 'B': 'استخدام إشارات الأقمار الصناعية لتحديد موقع الطائرة', 'C': 'استخدام الخرائط والبوصلة لتحديد موقع الطائرة', 'D': 'استخدام الرادار لتحديد موقع الطائرة', 'answer': 'A'}
{'question': 'ما هي العلاقة بين الضغط والحجم في الديناميكا الحرارية؟', 'A': 'طردية', 'B': 'عكسية', 'C': 'ثابتة', 'D': 'متغيرة', 'answer': 'B'}
{'question': 'ما المصطلح الذي يشير إلى الطاقة الداخلية في الديناميكا الحرارية؟', 'A': 'الإنتروبيا', 'B': 'الإنثالبي', 'C': 'الطاقة الحركية', 'D': 'الطاقة الداخلية', 'answer': 'D'}
{'question': 'ما هو المفهوم الأساسي في دراسة السكونيات؟', 'A': 'الحركة', 'B': 'التوازن', 'C': 'التسارع', 'D': 'القوة', 'answer': 'B'}
{'question': 'ما هي الأداة المستخدمة في تصميم بمساعدة الحاسوب؟', 'A': 'الرسم اليدوي', 'B': 'الحاسب الآلي', 'C': 'الطباعة ثلاثية الأبعاد', 'D': 'النمذجة الرياضية', 'answer': 'B'}
{'question': 'ما هو النوع الشائع لمحركات الاحتراق الداخلي؟', 'A': 'محرك الديزل', 'B': 'محرك البخار', 'C': 'محرك كهربائي', 'D': 'محرك توربيني', 'answer': 'A'}
{'question': 'ما هو المصطلح الذي يعبر عن العمل في الديناميكا الحرارية؟', 'A': 'القوة', 'B': 'الطاقة', 'C': 'العمل', 'D': 'الحرارة', 'answer': 'C'}
{'question': 'ما هي الوحدة الأساسية لقياس الطاقة في الديناميكا الحرارية؟', 'A': 'الجول', 'B': 'الواط', 'C': 'الكالوري', 'D': 'اللتر', 'answer': 'A'}
{'question': 'ما هو المصطلح الذي يشير إلى الحرارة في الديناميكا الحرارية؟', 'A': 'الإنتروبيا', 'B': 'الإنثالبي', 'C': 'الحرارة', 'D': 'الطاقة الحركية', 'answer': 'C'}
{'question': 'ما هي الخاصية التي تعبر عن مقاومة الجسم للتغير في حالته الحركية؟', 'A': 'الكتلة', 'B': 'الوزن', 'C': 'الحجم', 'D': 'الكثافة', 'answer': 'A'}
{'question': 'ما هو المصطلح الذي يستخدم لوصف الحالة التي لا يوجد فيها تغير في الحركة؟', 'A': 'الديناميكا', 'B': 'السكونيات', 'C': 'التسارع', 'D': 'القوة', 'answer': 'B'}
{'question': 'ما هو العنصر الذي يتم تحليله في الديناميكا الحرارية؟', 'A': 'السوائل', 'B': 'المواد الصلبة', 'C': 'الغازات', 'D': 'البلازما', 'answer': 'C'}
{'question': 'ما هو النظام الذي يتم استخدامه في التصميم الميكانيكي بمساعدة الحاسوب؟', 'A': 'الأنظمة الهيدروليكية', 'B': 'الأنظمة البيوميكانيكية', 'C': 'الأنظمة الكهربائية', 'D': 'الأنظمة الميكانيكية', 'answer': 'D'}
{'question': 'ما هو النظام الذي يتم استخدامه في السكونيات؟', 'A': 'الديناميكا الحرارية', 'B': 'السكونيات', 'C': 'الحركة الدائرية', 'D': 'الطاقة الكهربائية', 'answer': 'B'}
{'question': 'ما هو النظام الذي يتم استخدامه في محرك الاحتراق الداخلي؟', 'A': 'الطاقة الشمسية', 'B': 'الطاقة الكهربائية', 'C': 'الطاقة الميكانيكية', 'D': 'الطاقة الحرارية', 'answer': 'C'}
{'question': 'ما هو النظام الذي يتم استخدامه في الديناميكا الحرارية؟', 'A': 'الأنظمة الهيدروليكية', 'B': 'الأنظمة البيوميكانيكية', 'C': 'الأنظمة الكهربائية', 'D': 'الأنظمة الحرارية', 'answer': 'D'}
{'question': 'ما هو النظام الذي يتم استخدامه في التصميم الميكانيكي بمساعدة الحاسوب؟', 'A': 'الأنظمة الهيدروليكية', 'B': 'الأنظمة البيوميكانيكية', 'C': 'الأنظمة الكهربائية', 'D': 'الأنظمة الميكانيكية', 'answer': 'D'}
{'question': 'ما هو النظام الذي يتم استخدامه في السكونيات؟', 'A': 'الديناميكا الحرارية', 'B': 'السكونيات', 'C': 'الحركة الدائرية', 'D': 'الطاقة الكهربائية', 'answer': 'B'}
{'question': 'ما هو النظام الذي يتم استخدامه في محرك الاحتراق الداخلي؟', 'A': 'الطاقة الشمسية', 'B': 'الطاقة الكهربائية', 'C': 'الطاقة الميكانيكية', 'D': 'الطاقة الحرارية', 'answer': 'C'}
{'question': 'ما هو النظام الذي يتم استخدامه في الديناميكا الحرارية؟', 'A': 'الأنظمة الهيدروليكية', 'B': 'الأنظمة البيوميكانيكية', 'C': 'الأنظمة الكهربائية', 'D': 'الأنظمة الحرارية', 'answer': 'D'}
{'question': 'ما هو العنصر الذي يتم تحليله في الديناميكا الحرارية؟', 'A': 'السوائل', 'B': 'المواد الصلبة', 'C': 'الغازات', 'D': 'البلازما', 'answer': 'C'}
{'question': 'ما هي الوحدة الأساسية لقياس الطاقة في الديناميكا الحرارية؟', 'A': 'الجول', 'B': 'الواط', 'C': 'الكالوري', 'D': 'اللتر', 'answer': 'A'}
{'question': 'ما هو المصطلح الذي يعبر عن العمل في الديناميكا الحرارية؟', 'A': 'القوة', 'B': 'الطاقة', 'C': 'العمل', 'D': 'الحرارة', 'answer': 'C'}
{'question': 'ما هي الخاصية التي تعبر عن مقاومة الجسم للتغير في حالته الحركية؟', 'A': 'الكتلة', 'B': 'الوزن', 'C': 'الحجم', 'D': 'الكثافة', 'answer': 'A'}
{'question': 'ما هو المصطلح الذي يستخدم لوصف الحالة التي لا يوجد فيها تغير في الحركة؟', 'A': 'الديناميكا', 'B': 'السكونيات', 'C': 'التسارع', 'D': 'القوة', 'answer': 'B'}
{'question': 'ما هو النوع الشائع لمحركات الاحتراق الداخلي؟', 'A': 'محرك الديزل', 'B': 'محرك البخار', 'C': 'محرك كهربائي', 'D': 'محرك توربيني', 'answer': 'A'}
{'question': 'ما هو المفهوم الأساسي في دراسة السكونيات؟', 'A': 'الحركة', 'B': 'التوازن', 'C': 'التسارع', 'D': 'القوة', 'answer': 'B'}
{'question': 'ما هي الأداة المستخدمة في تصميم بمساعدة الحاسوب؟', 'A': 'الرسم اليدوي', 'B': 'الحاسب الآلي', 'C': 'الطباعة ثلاثية الأبعاد', 'D': 'النمذجة الرياضية', 'answer': 'B'}
{'question': 'ما هي العلاقة بين الضغط والحجم في الديناميكا الحرارية؟', 'A': 'طردية', 'B': 'عكسية', 'C': 'ثابتة', 'D': 'متغيرة', 'answer': 'B'}
{'question': 'ما المصطلح الذي يشير إلى الطاقة الداخلية في الديناميكا الحرارية؟', 'A': 'الإنتروبيا', 'B': 'الإنثالبي', 'C': 'الطاقة الحركية', 'D': 'الطاقة الداخلية', 'answer': 'D'}
{'question': 'ما هو العنصر الذي يتم تحليله في انتقال الحرارة؟', 'A': 'السوائل', 'B': 'المواد الصلبة', 'C': 'الغازات', 'D': 'البلازما', 'answer': 'A'}
{'question': 'ما هو النظام الذي يتم استخدامه في التصميم الميكانيكي بمساعدة الحاسوب؟', 'A': 'الأنظمة الهيدروليكية', 'B': 'الأنظمة البيوميكانيكية', 'C': 'الأنظمة الكهربائية', 'D': 'الأنظمة الميكانيكية', 'answer': 'D'}
{'question': 'ما هو النظام الذي يتم استخدامه في السكونيات؟', 'A': 'الديناميكا الحرارية', 'B': 'السكونيات', 'C': 'الحركة الدائرية', 'D': 'الطاقة الكهربائية', 'answer': 'B'}
