question,A,B,C,D,answer
What is the unit of force?,Newton,Joule,Watt,Pascal,A
Which of the following is a vector quantity?,Speed,Mass,Velocity,Temperature,C
What is the acceleration due to gravity on Earth?,9.8 m/s²,10 m/s²,8.9 m/s²,9.2 m/s²,A
What is the first law of thermodynamics?,Energy can be created or destroyed,Energy cannot be created or destroyed,Entropy of a system always increases,Entropy of a system always decreases,B
Which law explains why we need to wear seat belts?,Newton's First Law,Newton's Second Law,Newton's Third Law,Law of Gravitation,A
What is the speed of light in a vacuum?,3.00 x 10^8 m/s,3.00 x 10^6 m/s,3.00 x 10^10 m/s,3.00 x 10^4 m/s,A
What is the formula for kinetic energy?,mv,mgh,1/2 mv^2,mc^2,C
Which of the following is a scalar quantity?,Acceleration,Force,Velocity,Temperature,D
What is Ohm's Law?,V = IR,P = IV,F = ma,E = mc^2,A
Which particle has no electric charge?,Proton,Electron,Neutron,Positron,C
What does a voltmeter measure?,Current,Voltage,Resistance,Power,B
Which of the following best describes inertia?,Force that keeps objects moving,Resistance to change in motion,Tendency to speed up,Tendency to slow down,B
What is the unit of electrical resistance?,Ohm,Volt,Ampere,Watt,A
Which wave phenomenon explains the bending of light as it passes through different mediums?,Reflection,Refraction,Diffraction,Interference,B
What is the principle behind hydraulic systems?,Pascal's Law,Archimedes' Principle,Bernoulli's Principle,Hooke's Law,A
Which of the following is an example of potential energy?,A moving car,A compressed spring,Flowing water,Sound waves,B
What does the slope of a distance-time graph represent?,Acceleration,Speed,Displacement,Force,B
Which element is most essential for nuclear reactions in stars?,Hydrogen,Helium,Carbon,Oxygen,A
What is the primary cause of tides on Earth?,Wind,Sun's radiation,Earth's rotation,Gravitational pull of the Moon,D
Which of the following is a unit of power?,Joule,Watt,Newton,Pascal,B
What is the primary function of a transformer?,Convert AC to DC,Increase or decrease voltage,Store electrical energy,Measure electrical current,B
What type of lens converges light rays to a focal point?,Concave lens,Convex lens,Cylindrical lens,Planar lens,B
Which quantity is conserved in an elastic collision?,Momentum,Kinetic energy,Both momentum and kinetic energy,Neither momentum nor kinetic energy,C
What is the unit of frequency?,Hertz,Tesla,Joule,Henry,A
Which principle states that the buoyant force on an object is equal to the weight of the fluid displaced by the object?,Archimedes' Principle,Pascal's Principle,Bernoulli's Principle,Hooke's Law,A
What is the name given to the energy possessed by an object due to its motion?,Potential energy,Kinetic energy,Thermal energy,Chemical energy,B
What is the charge of an electron?,+1,-1,0,+2,B
Which of the following elements is a good conductor of electricity?,Sulfur,Oxygen,Copper,Silicon,C
What is the SI unit of work?,Newton,Joule,Watt,Pascal,B
Which fundamental force is responsible for the attraction between protons and electrons?,Gravitational force,Electromagnetic force,Strong nuclear force,Weak nuclear force,B
What is the term for materials that allow electricity to flow through them easily?,Insulators,Semiconductors,Conductors,Superconductors,C
What does the term 'absolute zero' refer to?,0°C,0°F,0 K,100 K,C
What is the most common state of matter in the universe?,Solid,Liquid,Gas,Plasma,D
Which law states that the pressure of a gas is inversely proportional to its volume?,Boyle's Law,Charles's Law,Avogadro's Law,Gay-Lussac's Law,A
What is the potential difference between two points in a circuit called?,Current,Voltage,Resistance,Power,B
Which type of wave requires a medium to travel through?,Electromagnetic wave,Transverse wave,Mechanical wave,Longitudinal wave,C
What is the primary cause of electromagnetic induction?,Static electricity,Changing magnetic fields,Constant electric fields,Magnetic monopoles,B
What does a spectrometer measure?,Mass,Temperature,Wavelength of light,Electric current,C
Which property of light allows it to bend around obstacles?,Reflection,Refraction,Diffraction,Absorption,C
What is the unit of magnetic field strength?,Volt,Tesla,Coulomb,Farad,B
What is the main principle behind the operation of a lever?,Gravitational force,Centrifugal force,Mechanical advantage,Thermodynamic efficiency,C
What property of a wave is measured in hertz?,Amplitude,Wavelength,Frequency,Speed,C
Which of the following is an example of a non-renewable energy source?,Solar energy,Wind energy,Coal,Hydropower,C
What is the smallest unit of an element that retains its chemical properties?,Molecule,Atom,Electron,Neutron,B
Which of the following is a unit of pressure?,Pascal,Newton,Watt,Coulomb,A
Which physical law states that energy cannot be created or destroyed?,Law of Conservation of Mass,First Law of Thermodynamics,Second Law of Thermodynamics,Newton's First Law,B
What is the primary purpose of a capacitor in an electrical circuit?,Store electrical energy,Convert AC to DC,Increase resistance,Generate magnetic fields,A
What is the term for the change in direction of a wave when it passes from one medium to another?,Reflection,Refraction,Diffraction,Interference,B
What is the unit of electric current?,Volt,Ohm,Ampere,Watt,C
Which of the following particles is found in the nucleus of an atom?,Electron,Proton,Photon,Neutrino,B
What type of mirror can produce a real image?,Plane mirror,Concave mirror,Convex mirror,None of the above,B
What is the result of mixing all colors of light?,Black,White,Red,Blue,B
What phenomenon explains why a pencil looks bent when placed in a glass of water?,Reflection,Diffraction,Refraction,Absorption,C
What does a Newton's cradle demonstrate?,Conservation of energy,Conservation of momentum,Both conservation of energy and momentum,Conservation of mass,C
Which of the following quantities is measured in meters per second squared?,Velocity,Speed,Acceleration,Force,C
What is the term for the amount of space an object occupies?,Mass,Density,Volume,Weight,C
Which type of electromagnetic wave has the highest energy?,Radio waves,Microwaves,X-rays,Gamma rays,D
What is the phenomenon where a material emits light when heated?,Incandescence,Luminescence,Phosphorescence,Fluorescence,A
What type of quantity is speed?,Vector,Scalar,Tensor,Matrix,B
Which device is used to measure atmospheric pressure?,Thermometer,Barometer,Hygrometer,Anemometer,B
What is the phenomenon where a wave changes direction due to a change in its speed?,Reflection,Refraction,Diffraction,Interference,B
What is the unit of inductance?,Farad,Ohm,Henry,Tesla,C
What is the term for the energy stored in an object due to its position or height?,Kinetic energy,Thermal energy,Potential energy,Chemical energy,C
What is the force that opposes the relative motion or tendency of such motion of two surfaces in contact?,Tension,Compression,Friction,Gravity,C
What is the SI unit of power?,Joule,Watt,Newton,Pascal,B
What principle explains the lift force on an airplane wing?,Pascal's Principle,Archimedes' Principle,Bernoulli's Principle,Hooke's Law,C
What is the rate of change of velocity called?,Speed,Displacement,Acceleration,Force,C
Which law states that the current through a conductor between two points is directly proportional to the voltage across the two points?,Faraday's Law,Lenz's Law,Ohm's Law,Kirchhoff's Law,C
What is the property of a material that resists the flow of electric current?,Conductance,Resistance,Inductance,Capacitance,B
What is the unit of electric charge?,Volt,Ampere,Coulomb,Ohm,C
What is the principle that states that the total energy of an isolated system remains constant?,Law of Conservation of Mass,Law of Conservation of Energy,First Law of Thermodynamics,Second Law of Thermodynamics,B
What type of current changes direction periodically?,Direct current (DC),Alternating current (AC),Static current,Pulsed current,B
Which scientist is known for the three laws of motion?,Albert Einstein,Galileo Galilei,Isaac Newton,Nikola Tesla,C
What is the term for the amount of matter in an object?,Weight,Density,Volume,Mass,D
What is the measure of the average kinetic energy of the particles in a substance?,Heat,Temperature,Thermal energy,Internal energy,B
"What is the relationship between voltage, current, and resistance in an electrical circuit?",P = IV,V = IR,E = mc^2,F = ma,B
What is the speed of sound in air at room temperature?,150 m/s,300 m/s,343 m/s,400 m/s,C
What is the effect of increasing the temperature of a gas at constant volume?,Decreases pressure,Increases pressure,Decreases density,Increases mass,B
What type of bond involves the sharing of electron pairs between atoms?,Ionic bond,Covalent bond,Metallic bond,Hydrogen bond,B
What is the device used to detect and measure small electric currents?,Voltmeter,Ammeter,Ohmmeter,Galvanometer,D
What type of wave is sound?,Transverse wave,Longitudinal wave,Surface wave,Electromagnetic wave,B
Which scientist is known for his theory of relativity?,Niels Bohr,Isaac Newton,Albert Einstein,Galileo Galilei,C
What is the term for the force exerted by a fluid on an object moving through it?,Buoyant force,Drag force,Lift force,Gravitational force,B
What is the unit of work in the International System of Units (SI)?,Newton,Joule,Watt,Pascal,B
What is the name of the effect where light spreads as it passes through a narrow opening?,Reflection,Refraction,Diffraction,Interference,C
Which law of thermodynamics states that entropy of an isolated system always increases?,First law,Second law,Third law,Zeroth law,B
What is the basic unit of electric charge?,Volt,Ampere,Coulomb,Ohm,C
What is the principle behind the operation of a hydraulic lift?,Pascal's Principle,Archimedes' Principle,Bernoulli's Principle,Newton's Third Law,A
What is the frequency range of human hearing?,"0 to 1,000 Hz","20 to 20,000 Hz","20 to 200,000 Hz","200 to 20,000 Hz",B
What is the device used to measure the intensity of light?,Thermometer,Anemometer,Photometer,Hygrometer,C
What happens to the wavelength of a wave as its frequency increases?,Increases,Decreases,Remains the same,Doubles,B
What is the name of the phenomenon where two waves superpose to form a resultant wave?,Diffraction,Interference,Reflection,Refraction,B
What is the property of a material that allows it to return to its original shape after being stretched or compressed?,Plasticity,Elasticity,Viscosity,Density,B
Which device is used to measure electric potential difference?,Ammeter,Voltmeter,Ohmmeter,Galvanometer,B
What is the main component of the sun's energy production?,Nuclear fission,Nuclear fusion,Chemical combustion,Radioactive decay,B
What is the velocity of an object at rest?,0 m/s,9.8 m/s,10 m/s,Variable,A
Which property measures the resistance of a liquid to flow?,Density,Viscosity,Surface tension,Buoyancy,B
Which principle explains why the pressure in a moving fluid decreases as its velocity increases?,Archimedes' Principle,Bernoulli's Principle,Pascal's Principle,Hooke's Law,B
What type of current is produced by a battery?,Alternating current (AC),Direct current (DC),Pulsating current,Induced current,B
What is the term for the transfer of heat through a fluid (liquid or gas) caused by molecular motion?,Conduction,Convection,Radiation,Evaporation,B
What is the unit of magnetic flux?,Weber,Tesla,Gauss,Henry,A
What is the phenomenon of producing an electromotive force across an electrical conductor in a changing magnetic field?,Electrolysis,Electromagnetic induction,Electroplating,Electromagnetic radiation,B
Which particle is responsible for the strong nuclear force?,Photon,Gluon,Electron,Neutrino,B
What is the measure of the disorder or randomness in a system?,Enthalpy,Entropy,Energy,Exergy,B
"Which law states that the volume of a gas is directly proportional to its temperature, provided the pressure remains constant?",Boyle's Law,Charles's Law,Avogadro's Law,Gay-Lussac's Law,B
What is the term for the rate at which work is done?,Energy,Power,Force,Momentum,B
What is the property of a sound wave that determines its pitch?,Amplitude,Frequency,Wavelength,Velocity,B
Which type of bond forms between atoms when electrons are transferred from one atom to another?,Covalent bond,Ionic bond,Metallic bond,Hydrogen bond,B
What is the primary factor that determines the strength of gravitational force between two objects?,Volume of the objects,Mass of the objects,Density of the objects,Temperature of the objects,B
What is the term for the number of protons in the nucleus of an atom?,Atomic mass,Atomic number,Mass number,Isotope number,B
Which device converts electrical energy into mechanical energy?,Generator,Transformer,Motor,Rectifier,C
What is the principle that states that pressure applied to a confined fluid is transmitted undiminished in all directions?,Bernoulli's Principle,Archimedes' Principle,Pascal's Principle,Hooke's Law,C
What is the term for the smallest quantity of electromagnetic radiation?,Electron,Photon,Proton,Neutron,B
Which scientist is credited with the discovery of the electron?,Albert Einstein,Isaac Newton,J.J. Thomson,Niels Bohr,C
What is the name of the hypothetical particle that mediates the gravitational force?,Photon,Gluon,Graviton,Higgs boson,C
What type of wave can travel through a vacuum?,Sound wave,Mechanical wave,Electromagnetic wave,Seismic wave,C
Which phenomenon causes a moving clock to run slower compared to a stationary clock?,Gravitational time dilation,Length contraction,Time dilation,Doppler effect,C
What is the term for the bending of light as it passes around an object or through a slit?,Reflection,Refraction,Diffraction,Interference,C
What is the unit of electric potential difference?,Ampere,Ohm,Volt,Watt,C
What is the principle that the buoyant force on an object is equal to the weight of the fluid displaced by the object?,Archimedes' Principle,Bernoulli's Principle,Pascal's Principle,Hooke's Law,A
What is the SI unit of capacitance?,Ohm,Ampere,Farad,Volt,C
Which of the following is a vector quantity?,Speed,Distance,Acceleration,Mass,C
What is the SI unit of frequency?,Hertz,Newton,Pascal,Watt,A
What is the phenomenon where a wave bounces off a surface?,Reflection,Refraction,Diffraction,Interference,A
What is the property of a material that opposes the flow of electric current?,Conductance,Resistivity,Capacitance,Inductance,B
Which of the following is an example of a force?,Mass,Velocity,Acceleration,Gravity,D
What is the SI unit of magnetic flux density?,Weber,Tesla,Henry,Gauss,B
What is the term for the force that opposes the relative motion or tendency of such motion between two surfaces in contact?,Tension,Friction,Gravity,Momentum,B
What is the property of a material that allows it to deform under stress?,Plasticity,Elasticity,Viscosity,Density,B
What is the SI unit of pressure?,Newton,Pascal,Watt,Joule,B
What is the principle that states that an object submerged in a fluid experiences an upward buoyant force equal to the weight of the fluid displaced by the object?,Archimedes' Principle,Pascal's Principle,Bernoulli's Principle,Newton's Third Law,A
What is the formula for the period of a wave?,T = 1/f,T = fλ,T = mgh,T = 2π√(m/k),A
Which of the following is a type of mechanical wave?,Light wave,Sound wave,Radio wave,X-ray,B
What is the phenomenon where a wave bends as it passes from one medium to another at an angle?,Reflection,Refraction,Diffraction,Interference,B
