{'question': 'ما العنصر الذي يتم تحديثه في عملية تطوير البرمجيات؟', 'A': 'المنتج', 'B': 'الميزانية', 'C': 'الجدول الزمني', 'D': 'المواصفات', 'answer': 'A'}
{'question': 'ما الأدوات التي تدعم منهجيات محددة في تطوير البرمجيات؟', 'A': 'أدوات التصميم', 'B': 'أدوات التطوير', 'C': 'أدوات الاختبار', 'D': 'أدوات الإدارة', 'answer': 'B'}
{'question': 'ما العملية التي تتم في الخلفية وتعتبر جزءاً من أمن المعلومات؟', 'A': 'المراقبة', 'B': 'التحليل', 'C': 'التدقيق', 'D': 'التصديق', 'answer': 'C'}
{'question': 'ما الدور الذي يلعبه المهندس في تطوير البرمجيات؟', 'A': 'محلل', 'B': 'مطور', 'C': 'مختبر', 'D': 'مدير مشروع', 'answer': 'B'}
{'question': 'ما العملية التي تتم على البيانات في أمن المعلومات؟', 'A': 'التخزين', 'B': 'النقل', 'C': 'التحليل', 'D': 'التشفير', 'answer': 'B'}
{'question': 'ما الأداة التي تستخدم للتحكم في الوصول في أمن المعلومات؟', 'A': 'جدار الحماية', 'B': 'برنامج مكافحة الفيروسات', 'C': 'نظام التشغيل', 'D': 'الشبكة الخاصة الافتراضية', 'answer': 'A'}
{'question': 'ما العنصر الذي يتم تحديثه في شبكة الحاسوب؟', 'A': 'البروتوكولات', 'B': 'الأجهزة', 'C': 'البرمجيات', 'D': 'التوصيلات', 'answer': 'C'}
{'question': 'ما العملية التي تتم على البيانات في شبكة الحاسوب؟', 'A': 'التخزين', 'B': 'النقل', 'C': 'التحليل', 'D': 'التشفير', 'answer': 'B'}
{'question': 'ما الأداة التي تستخدم للتحكم في الوصول في شبكة الحاسوب؟', 'A': 'جدار الحماية', 'B': 'برنامج مكافحة الفيروسات', 'C': 'نظام التشغيل', 'D': 'الشبكة الخاصة الافتراضية', 'answer': 'A'}
{'question': 'ما العنصر الذي يتم تحديثه في لوحة الأم؟', 'A': 'المعالج', 'B': 'الذاكرة', 'C': 'البيوس', 'D': 'الشرائح', 'answer': 'C'}
{'question': 'ما العملية التي تتم على البيانات في لوحة الأم؟', 'A': 'التخزين', 'B': 'النقل', 'C': 'التحليل', 'D': 'التشفير', 'answer': 'B'}
{'question': 'ما الأداة التي تستخدم للتحكم في الوصول في لوحة الأم؟', 'A': 'جدار الحماية', 'B': 'برنامج مكافحة الفيروسات', 'C': 'نظام التشغيل', 'D': 'الشبكة الخاصة الافتراضية', 'answer': 'A'}
{'question': 'ما العنصر الذي يتم تحديثه في مهندس البرمجيات؟', 'A': 'المنتج', 'B': 'الميزانية', 'C': 'الجدول الزمني', 'D': 'المواصفات', 'answer': 'A'}
