question,A,B,C,D,answer
What is the primary function of a computer's CPU?,To store data,To display output,To process data,To provide power,C
Which of the following is a type of computer memory?,Processor,RAM,Motherboard,Power Supply,B
What is the purpose of an operating system?,To manage computer hardware and software resources,To create programs,To store files,To connect to the internet,A
Which of the following is a type of input device?,Monitor,Keyboard,Speaker,Printer,B
What is the purpose of a computer program?,To provide power to the computer,To display images,To execute a set of instructions,To store data,C
Which of the following is a type of output device?,Mouse,Keyboard,Printer,Scanner,C
What is the purpose of a computer network?,To connect computers and share resources,To store data,To process data,To display output,A
Which of the following is a type of software?,Motherboard,Processor,Operating system,Power Supply,C
What is the purpose of a database?,To store and manage data,To process data,To display output,To provide power,A
Which of the following is a type of programming language?,RAM,CPU,Java,Motherboard,C
What is the purpose of an algorithm?,To store data,To display output,To process data,To provide a step-by-step solution to a problem,D
Which of the following is a type of data structure?,Monitor,Array,Speaker,Printer,B
What is the purpose of a compiler?,To translate high-level programming language into machine-readable code,To store data,To display output,To provide power,A
Which of the following is a type of computer architecture?,Von Neumann architecture,Keyboard,Speaker,Printer,A
What is the purpose of a computer bus?,To connect components within a computer system,To store data,To display output,To provide power,A
Which of the following is a type of computer storage?,RAM,CPU,Java,Hard disk drive,D
What is the purpose of a computer firewall?,To protect a computer system from unauthorized access,To store data,To display output,To provide power,A
Which of the following is a type of computer interface?,Graphical User Interface (GUI),Keyboard,Speaker,Printer,A
What is the purpose of a computer virus?,To protect a computer system,To improve performance,To cause harm or disrupt a computer system,To provide power,C
Which of the following is a type of computer network topology?,Star topology,Keyboard,Speaker,Printer,A
What is the purpose of a computer motherboard?,To process data,To store data,To provide power,To connect all computer components,D
Which of the following is a type of computer peripheral?,RAM,Monitor,CPU,Hard drive,B
What is the function of a computer graphics card?,To store data,To process data,To display images on a monitor,To provide power,C
Which of the following is a type of computer input/output port?,USB,RAM,CPU,Hard drive,A
What is the purpose of a computer power supply unit?,To process data,To store data,To provide power to computer components,To display output,C
Which of the following is a type of computer cooling system?,Keyboard,Fan,Speaker,Printer,B
What is the function of a computer mouse?,To display output,To process data,To provide power,To control cursor movement on a screen,D
Which of the following is a type of computer software application?,Microsoft Windows,Motherboard,Processor,Power Supply,A
What is the purpose of a computer modem?,To connect to the internet,To store data,To display output,To provide power,A
Which of the following is a type of computer virus protection software?,Antivirus,RAM,CPU,Hard drive,A
What is the function of a computer scanner?,To store data,To process data,To display output,To convert physical documents into digital images,D
Which of the following is a type of computer file format?,.txt,Keyboard,Speaker,Printer,A
What is the purpose of a computer cache memory?,To store frequently accessed data for quick retrieval,To process data,To display output,To provide power,A
Which of the following is a type of computer network protocol?,TCP/IP,Motherboard,Processor,Power Supply,A
What is the function of a computer webcam?,To store data,To process data,To display output,To capture video or images,D
Which of the following is a type of computer display technology?,LCD,RAM,CPU,Hard drive,A
What is the purpose of a computer backup system?,To store data,To protect data by creating copies for recovery,To display output,To provide power,B
Which of the following is a type of computer input device?,Microphone,Keyboard,Speaker,Printer,A
What is the function of a computer touchpad?,To display output,To process data,To provide power,To control cursor movement on a screen,D
Which of the following is a type of computer programming paradigm?,Object-Oriented Programming (OOP),Motherboard,Processor,Power Supply,A
What is the purpose of a computer firewall?,To protect a computer system from unauthorized access,To store data,To display output,To provide power,A
Which of the following is a type of computer interface?,Graphical User Interface (GUI),Keyboard,Speaker,Printer,A
What is the purpose of a computer virus?,To protect a computer system,To improve performance,To cause harm or disrupt a computer system,To provide power,C
Which of the following is a type of computer network topology?,Star topology,Keyboard,Speaker,Printer,A
What is the function of a computer router?,To process data,To store data,To route data packets between computer networks,To display output,C
Which of the following is a type of computer peripheral device?,RAM,Monitor,CPU,Hard drive,B
What is the purpose of a computer BIOS?,To process data,To store data,To provide basic input/output system functions,To display output,C
Which of the following is a type of computer network protocol?,HTTP,Motherboard,Processor,Power Supply,A
What is the function of a computer optical drive?,To store data,To process data,To read and write data on optical discs,To provide power,C
Which of the following is a type of computer software license?,Freeware,RAM,CPU,Hard drive,A
What is the purpose of a computer cache memory?,To store frequently accessed data for quick retrieval,To process data,To display output,To provide power,A
Which of the following is a type of computer network device?,Switch,Keyboard,Speaker,Printer,A
What is the function of a computer microphone?,To store data,To process data,To capture audio input,To display output,C
Which of the following is a type of computer display resolution?,1080p,RAM,CPU,Hard drive,A
What is the purpose of a computer UPS (Uninterruptible Power Supply)?,To store data,To provide continuous power in case of outages,To display output,To process data,B
Which of the following is a type of computer input device?,Trackpad,Keyboard,Speaker,Printer,A
What is the function of a computer firewall?,To protect a computer system from unauthorized access,To process data,To display output,To provide power,A
Which of the following is a type of computer programming language?,Python,Motherboard,Processor,Power Supply,A
What is the purpose of a computer webcam?,To store data,To process data,To display output,To capture video or images,D
Which of the following is a type of computer network security measure?,Firewall,RAM,CPU,Hard drive encryption,A
What is the purpose of a computer algorithm?,To store data,To display output,To process data,To provide a step-by-step solution to a problem,D
Which of the following is a type of computer network architecture?,Client-server,Keyboard,Speaker,Printer,A
What is the function of a computer joystick?,To store data,To process data,To control movement in games or simulations,To display output,C
Which of the following is a type of computer file system?,NTFS,RAM,CPU,Hard drive,A
What is the purpose of a computer network switch?,To process data,To store data,To connect multiple devices in a network,To display output,C
Which of the following is a type of computer peripheral interface?,USB,Monitor,CPU,Hard drive,A
What is the function of a computer barcode scanner?,To store data,To process data,To scan and read barcodes for identification,To provide power,C
Which of the following is a type of computer software development tool?,Integrated Development Environment (IDE),Motherboard,Processor,Power Supply,A
What is the purpose of a computer network router?,To connect to the internet,To store data,To route data between different networks,To display output,C
Which of the following is a type of computer security authentication method?,Biometric authentication,RAM,CPU,Hard drive,A
What is the function of a computer touch screen?,To display output,To process data,To provide power,To allow user interaction through touch gestures,D
Which of the following is a type of computer network protocol suite?,TCP/IP,Keyboard,Speaker,Printer,A
What is the purpose of a computer backup software?,To store data,To protect data by creating copies for recovery,To display output,To provide power,B
Which of the following is a type of computer input/output device?,Scanner,RAM,CPU,Hard drive,A
What is the function of a computer virtual reality headset?,To store data,To process data,To provide an immersive virtual experience,To display output,C
Which of the following is a type of computer display technology?,OLED,RAM,CPU,Hard drive,A
What is the purpose of a computer encryption software?,To store data,To protect data by encoding it for security,To display output,To provide power,B
Which of the following is a type of computer input device?,Graphics tablet,Keyboard,Speaker,Printer,A
What is the function of a computer network hub?,To process data,To store data,To connect multiple devices in a network,To display output,C
What is the purpose of a computer operating system?,To manage computer hardware and software resources,To create programs,To store files,To connect to the internet,A
Which of the following is a type of computer memory?,Processor,RAM,Motherboard,Power Supply,B
What is the function of a computer graphics processing unit (GPU)?,To store data,To process graphics-intensive tasks efficiently,To display output,To provide power,B
Which of the following is a type of computer file format?,.pdf,Keyboard,Speaker,Printer,A
What is the purpose of a computer network firewall?,To protect a computer network from unauthorized access,To store data,To display output,To provide power,A
Which of the following is a type of computer input device?,Trackball,Monitor,Speaker,Printer,A
What is the function of a computer network bridge?,To process data,To store data,To connect different network segments,To display output,C
Which of the following is a type of computer software license?,Open source,RAM,CPU,Hard drive,A
What is the purpose of a computer network gateway?,To connect to the internet,To store data,To provide a point of interconnection between different networks,To display output,C
Which of the following is a type of computer input/output interface?,HDMI,RAM,CPU,Hard drive,A
What is the function of a computer network access control list (ACL)?,To store data,To process data,To control access to network resources,To display output,C
Which of the following is a type of computer software development methodology?,Agile,Motherboard,Processor,Power Supply,A
What is the purpose of a computer network intrusion detection system (IDS)?,To protect a computer network from unauthorized access,To store data,To monitor network traffic for suspicious activity,To provide power,C
Which of the following is a type of computer input/output bus?,PCI Express,Keyboard,Speaker,Printer,A
What is the function of a computer network load balancer?,To process data,To store data,To distribute network traffic across multiple servers,To display output,C
Which of the following is a type of computer software development tool?,Version control system,RAM,CPU,Hard drive,A
What is the purpose of a computer network virtual private network (VPN)?,To store data,To provide a secure connection over a public network,To display output,To process data,B
Which of the following is a type of computer input/output protocol?,I2C,Motherboard,Processor,Power Supply,A
What is the function of a computer network intrusion prevention system (IPS)?,To store data,To process data,To monitor and prevent network attacks in real-time,To display output,C
Which of the following is a type of computer software development paradigm?,Functional programming,RAM,CPU,Hard drive,A
What is the purpose of a computer network router?,To connect multiple networks,To store data,To display output,To provide power,A
Which of the following is a type of computer peripheral?,RAM,Monitor,CPU,Hard drive,B
What is the function of a computer webcam?,To store data,To process data,To capture video or images,To provide power,C
Which of the following is a type of computer network topology?,Mesh topology,Keyboard,Speaker,Printer,A
What is the purpose of a computer antivirus software?,To protect against malware and viruses,To store data,To display output,To provide power,A
Which of the following is a type of computer input device?,Stylus,Monitor,Speaker,Printer,A
What is the function of a computer sound card?,To store data,To process data,To provide audio output,To display output,C
Which of the following is a type of computer software application?,Microsoft Office,Motherboard,Processor,Power Supply,A
What is the purpose of a computer network switch?,To connect devices within a network,To store data,To display output,To provide power,A
Which of the following is a type of computer programming language?,Python,RAM,CPU,Hard drive,A
What is the function of a computer touch screen?,To display output,To process data,To provide touch-based input,To provide power,C
Which of the following is a type of computer network protocol?,FTP,Keyboard,Speaker,Printer,A
What is the purpose of a computer backup system?,To store data copies for recovery,To process data,To display output,To provide power,A
Which of the following is a type of computer display technology?,LED,RAM,CPU,Hard drive,A
What is the function of a computer network modem?,To store data,To process data,To connect to the internet,To display output,C
Which of the following is a type of computer storage device?,SSD,Motherboard,Processor,Power Supply,A
What is the purpose of a computer firewall?,To protect against unauthorized access,To store data,To display output,To provide power,A
Which of the following is a type of computer interface?,USB,Keyboard,Speaker,Printer,A
What is the function of a computer optical mouse?,To display output,To process data,To provide power,To control cursor movement on a screen,D
Which of the following is a type of computer network security measure?,Encryption,RAM,CPU,Hard drive,A
What is the purpose of a computer network access control list (ACL)?,To store data,To process data,To control access to network resources,To display output,C
Which of the following is a type of computer software development methodology?,Waterfall,Motherboard,Processor,Power Supply,A
What is the function of a computer network intrusion prevention system (IPS)?,To store data,To process data,To monitor and prevent network attacks in real-time,To display output,C
Which of the following is a type of computer software development paradigm?,Object-Oriented Programming (OOP),RAM,CPU,Hard drive,A
What is the purpose of a computer network virtual private network (VPN)?,To store data,To provide a secure connection over a public network,To display output,To process data,B
Which of the following is a type of computer input/output protocol?,SATA,Keyboard,Speaker,Printer,A
What is the function of a computer network load balancer?,To process data,To store data,To distribute network traffic across multiple servers,To display output,C
Which of the following is a type of computer software development tool?,Debugger,RAM,CPU,Hard drive,A
What is the purpose of a computer network intrusion detection system (IDS)?,To protect a computer network from unauthorized access,To store data,To monitor network traffic for suspicious activity,To provide power,C
Which of the following is a type of computer input/output bus?,USB,Motherboard,Processor,Power Supply,A
What is the function of a computer network gateway?,To connect to the internet,To store data,To provide a point of interconnection between different networks,To display output,C
Which of the following is a type of computer software license?,Proprietary,RAM,CPU,Hard drive,A
What is the purpose of a computer network bridge?,To process data,To store data,To connect different network segments,To display output,C
Which of the following is a type of computer input device?,Drawing tablet,Monitor,Speaker,Printer,A
What is the function of a computer network firewall?,To protect a computer network from unauthorized access,To store data,To display output,To provide power,A
Which of the following is a type of computer file format?,.docx,Keyboard,Speaker,Printer,A
