question,A,B,C,D,answer
What is the chemical symbol for water?,H2O,O2,CO2,H2,A
What is the pH of a neutral solution?,0,7,14,1,B
Which element is known as the 'King of Chemicals'?,Oxygen,Nitrogen,Sulfur,Chlorine,C
Which gas is essential for respiration?,Oxygen,Nitrogen,Carbon Dioxide,Helium,A
What is the chemical formula for table salt?,NaCl,KCl,NaOH,KNO3,A
Which of the following is a noble gas?,Oxygen,Nitrogen,Helium,Hydrogen,C
What is the atomic number of carbon?,6,12,14,8,A
What type of bond involves the sharing of electron pairs between atoms?,Ionic bond,Covalent bond,Metallic bond,Hydrogen bond,B
Which of the following substances is an acid?,NaOH,HCl,NH3,CH4,B
Which element is liquid at room temperature?,Iron,Mercury,Sodium,Potassium,B
What is the most abundant gas in the Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,C
Which element is represented by the symbol 'K'?,Calcium,Krypton,Potassium,Magnesium,C
What is the main component of natural gas?,Methane,Ethane,Propane,Butane,A
Which type of reaction involves the exchange of ions between two compounds?,Synthesis,Decomposition,Single displacement,Double displacement,D
What is the common name for dihydrogen monoxide?,Ammonia,Water,Methane,Salt,B
Which element is the best conductor of electricity?,Iron,Gold,Copper,Silver,D
What is the process called when a liquid changes into a gas?,Condensation,Sublimation,Evaporation,Melting,C
What is the name given to the horizontal rows in the periodic table?,Groups,Periods,Families,Columns,B
Which of the following is an alkali metal?,Calcium,Magnesium,Sodium,Aluminum,C
What is the chemical formula for ammonia?,NH3,NH4,NO2,N2O,A
What is the name of the process by which plants make their food using sunlight?,Respiration,Photosynthesis,Digestion,Fermentation,B
Which element is commonly used in batteries?,Helium,Lithium,Carbon,Nitrogen,B
What is the chemical formula for carbon dioxide?,CO,CO2,C2O,C2O2,B
Which of the following is an organic compound?,NaCl,H2O,C6H12O6,O2,C
What is the pH range of acidic solutions?,0-7,7-14,0-14,7-8,A
Which particle is found in the nucleus of an atom?,Electron,Neutron,Proton,Both B and C,D
Which type of bond is formed when one atom donates an electron to another atom?,Covalent bond,Hydrogen bond,Ionic bond,Metallic bond,C
What is the charge of an electron?,Positive,Negative,Neutral,Varies,B
Which element has the highest atomic number in the periodic table?,Uranium,Oganesson,Plutonium,Radon,B
What is the name of the element with the symbol 'Fe'?,Lead,Silver,Iron,Gold,C
Which of the following is a chemical property?,Density,Color,Reactivity,Boiling point,C
Which gas is used in the Haber process to produce ammonia?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,B
What is the primary gas found in the bubbles of carbonated beverages?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C
Which of the following is a halogen?,Fluorine,Argon,Helium,Neon,A
What is the chemical formula for sulfuric acid?,HCl,H2SO4,HNO3,H2O,B
Which state of matter has a definite shape and volume?,Solid,Liquid,Gas,Plasma,A
What is the main component of the air we breathe?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,C
What type of chemical reaction is represented by the equation A + B -> AB?,Decomposition,Single displacement,Double displacement,Synthesis,D
Which of the following is not an alloy?,Steel,Brass,Bronze,Copper,D
What is the term for a solution that cannot dissolve any more solute at a given temperature?,Dilute,Saturated,Unsaturated,Supersaturated,B
What is the most abundant element in the Earth's crust?,Oxygen,Silicon,Aluminum,Iron,A
Which type of reaction involves the breaking down of a compound into two or more simpler substances?,Synthesis,Decomposition,Combustion,Single displacement,B
Which of the following is an example of a chemical change?,Melting ice,Boiling water,Rusting iron,Breaking glass,C
What is the name of the element with the symbol 'Ag'?,Gold,Gallium,Silver,Sodium,C
What is the chemical formula for methane?,CH4,C2H6,C3H8,C4H10,A
Which of the following elements is a metalloid?,Sodium,Silicon,Sulfur,Silver,B
What is the term for the energy required to start a chemical reaction?,Activation energy,Bond energy,Ionization energy,Kinetic energy,A
Which of the following is a base?,HCl,H2SO4,NaOH,CH3COOH,C
What is the chemical formula for glucose?,C6H12O6,C12H22O11,C6H6,CH3OH,A
Which gas is produced when an acid reacts with a metal?,Oxygen,Hydrogen,Nitrogen,Carbon dioxide,B
What is the periodic table?,A table showing all known isotopes,A table showing all known molecules,A table showing all known elements,A table showing all known compounds,C
What is the chemical formula for hydrochloric acid?,HCl,H2SO4,HNO3,HF,A
Which type of bond is formed between two nonmetals?,Ionic bond,Covalent bond,Metallic bond,Hydrogen bond,B
Which of the following is a physical property?,Flammability,Reactivity,Melting point,Toxicity,C
What is the main purpose of a catalyst in a chemical reaction?,To increase the yield of products,To change the products formed,To speed up the reaction,To be consumed in the reaction,C
What is the atomic number of hydrogen?,1,2,3,4,A
What is the chemical formula for ethanol?,C2H4O,C2H5OH,C2H6O2,C3H8O,B
Which of the following is a chemical element?,Water,Salt,Air,Oxygen,D
What is the term for a substance that cannot be broken down into simpler substances by chemical means?,Compound,Mixture,Element,Solution,C
Which of the following is an exothermic reaction?,Photosynthesis,Melting ice,Combustion of gasoline,Boiling water,C
What is the common name for sodium bicarbonate?,Baking soda,Table salt,Epsom salt,Sugar,A
Which of the following is a characteristic of metals?,Brittleness,Poor conductivity,Ductility,Opacity,C
What is the chemical formula for acetic acid?,C2H5OH,CH3COOH,C6H12O6,H2CO3,B
What type of chemical reaction is represented by AB -> A + B?,Synthesis,Decomposition,Combustion,Single displacement,B
Which of the following is an alkali earth metal?,Sodium,Calcium,Iron,Copper,B
What is the term for the smallest unit of a chemical element that retains its chemical properties?,Molecule,Atom,Ion,Compound,B
Which element is known as the building block of life?,Oxygen,Carbon,Hydrogen,Nitrogen,B
What is the process called when a gas changes directly into a solid?,Condensation,Deposition,Sublimation,Melting,B
What is the main component of limestone?,Calcium carbonate,Sodium chloride,Silicon dioxide,Magnesium oxide,A
Which of the following is a nonpolar molecule?,H2O,NH3,CH4,HCl,C
What is the term for a solution that contains more solute than it can theoretically hold at a given temperature?,Dilute,Saturated,Unsaturated,Supersaturated,D
