question,A,B,C,D,answer
What is the value of pi?,3.14159,2.71828,1.41421,1.61803,A
What is the square root of 16?,2,4,8,16,B
What is the result of 5+7?,11,12,13,14,B
What is the result of 9-4?,3,4,5,6,C
What is the result of 7*6?,36,42,48,54,B
What is the result of 36/6?,5,6,7,8,B
What is the remainder of 17 divided by 5?,1,2,3,4,B
What is the value of x in the equation 2x = 10?,3,4,5,6,C
What is the value of y in the equation 4y + 3 = 15?,2,3,4,5,B
What is the value of z in the equation 3z - 2 = 7?,2,3,4,5,B
What is the area of a rectangle with length 7 and width 3?,18,21,24,27,B
What is the perimeter of a rectangle with length 7 and width 3?,18,20,22,24,B
What is the area of a circle with radius 3 (use pi = 3.14)?,18.84,28.26,37.68,47.1,B
What is the circumference of a circle with radius 3 (use pi = 3.14)?,12.56,18.84,25.12,31.4,B
What is the volume of a cube with side length 3?,9,18,27,36,C
"What is the volume of a rectangular prism with length 3, width 2, and height 4?",18,24,30,36,B
What is the value of x in the equation 3x^2 = 27?,2,3,4,5,B
What is the value of y in the equation sqrt(y) = 4?,8,12,16,20,C
What is the value of z in the equation z^3 = 8?,1,2,3,4,B
What is the value of x in the equation 2^x = 8?,1,2,3,4,C
What is the value of x in the equation 5x = 25?,3,4,5,6,C
What is the value of y in the equation 2y + 3 = 11?,2,3,4,5,C
What is the value of z in the equation 4z - 3 = 9?,2,3,4,5,B
What is the area of a rectangle with length 8 and width 4?,24,28,32,36,C
What is the perimeter of a rectangle with length 8 and width 4?,20,24,28,32,B
What is the area of a circle with radius 4 (use pi = 3.14)?,25.12,37.68,50.24,62.8,C
What is the circumference of a circle with radius 4 (use pi = 3.14)?,15.7,25.12,34.54,43.96,B
What is the volume of a cube with side length 4?,32,48,64,80,C
"What is the volume of a rectangular prism with length 4, width 3, and height 5?",30,40,50,60,C
What is the value of x in the equation 4x^2 = 36?,3,4,5,6,A
What is the value of y in the equation sqrt(y) = 5?,15,20,25,30,C
What is the value of z in the equation z^3 = 27?,2,3,4,5,B
