{'question': 'ما هو المقصود بالشحنة الكهربائية؟', 'A': 'كمية الطاقة في الجسم', 'B': 'كمية الحرارة المنتقلة', 'C': 'خاصية فيزيائية تحدد التفاعل الكهرومغناطيسي', 'D': 'سرعة تدفق الإلكترونات', 'answer': 'C'}
{'question': 'ما هي وحدة قياس المقاومة الكهربائية؟', 'A': 'أمبير', 'B': 'أوم', 'C': 'فولت', 'D': 'واط', 'answer': 'B'}
{'question': 'ما العامل الذي يؤثر على مقاومة مادة معينة؟', 'A': 'الحرارة', 'B': 'الضغط', 'C': 'الرطوبة', 'D': 'الإضاءة', 'answer': 'A'}
{'question': 'ما هي العلاقة بين المقاومة ودرجة الحرارة في المواد؟', 'A': 'علاقة طردية', 'B': 'علاقة عكسية', 'C': 'لا توجد علاقة', 'D': 'علاقة دورية', 'answer': 'A'}
{'question': 'ما هو الرمز المستخدم للمقاومة النوعية؟', 'A': 'α', 'B': 'ρ', 'C': 'γ', 'D': 'λ', 'answer': 'B'}
{'question': 'ما هي الوحدة المستخدمة لقياس المقاومة النوعية؟', 'A': '(Ω·m)', 'B': '(Ω·mm²)/m', 'C': 'Ω/cm', 'D': 'Ω/m', 'answer': 'B'}
{'question': 'ما هو الحقل الذي يشمل دراسة الشحنات الكهربائية؟', 'A': 'الفيزياء النووية', 'B': 'الكيمياء الكهربائية', 'C': 'الهندسة الكهربائية', 'D': 'علم الأحياء', 'answer': 'C'}
{'question': 'ما هو الجهاز الذي يستخدم لتحويل الطاقة الميكانيكية إلى كهربائية؟', 'A': 'المحول الكهربائي', 'B': 'المولد الكهربائي', 'C': 'البطارية', 'D': 'المكثف', 'answer': 'B'}
{'question': 'ما هي الظاهرة الطبيعية المرتبطة بالشحنات الكهربائية في الغلاف الجوي؟', 'A': 'الزلازل', 'B': 'البرق', 'C': 'الأمواج الصوتية', 'D': 'الرياح', 'answer': 'B'}
{'question': 'ما هو تأثير درجة الحرارة على مقاومة المواد الكهربائية؟', 'A': 'تزيد المقاومة مع ارتفاع الحرارة', 'B': 'تقل المقاومة مع ارتفاع الحرارة', 'C': 'تبقى المقاومة ثابتة مع تغير الحرارة', 'D': 'تتحول المادة إلى موصل مثالي عند ارتفاع الحرارة', 'answer': 'A'}
{'question': 'ما هو الرمز المستخدم للتعبير عن المقاومة في الدوائر الكهربائية؟', 'A': 'V', 'B': 'I', 'C': 'R', 'D': 'C', 'answer': 'C'}
{'question': 'ما هي الوحدة الأساسية للشحنة الكهربائية؟', 'A': 'الكولوم', 'B': 'الأمبير', 'C': 'الفولت', 'D': 'الجول', 'answer': 'A'}
{'question': 'ما هو العنصر الذي يتم تحديده بواسطة الشحنة الكهربائية؟', 'A': 'التوصيل الحراري', 'B': 'التفاعل الكيميائي', 'C': 'التفاعل الكهرومغناطيسي', 'D': 'التفاعل النووي', 'answer': 'C'}
{'question': 'ما هو العامل الذي يحدد مقدار الشحنة الكهربائية؟', 'A': 'الكتلة', 'B': 'الحجم', 'C': 'عدد الإلكترونات', 'D': 'اللون', 'answer': 'C'}
{'question': 'ما هو القانون الذي يصف العلاقة بين الشحنة والتيار؟', 'A': 'قانون أوم', 'B': 'قانون كولوم', 'C': 'قانون فاراداي', 'D': 'قانون كيرشوف', 'answer': 'C'}
{'question': 'ما هي الظاهرة التي تحدث عندما تتحرك الشحنات الكهربائية عبر موصل؟', 'A': 'التأين', 'B': 'التوصيل', 'C': 'الحث الكهرومغناطيسي', 'D': 'التحليل الكهربائي', 'answer': 'B'}
{'question': 'ما هو العنصر الذي يتم استخدامه لقياس المقاومة الكهربائية؟', 'A': 'الأميتر', 'B': 'الفولتميتر', 'C': 'الأومميتر', 'D': 'المقاوم', 'answer': 'C'}
{'question': 'ما هو العامل الذي يؤثر على مقاومة المواد الكهربائية؟', 'A': 'اللون', 'B': 'الشكل', 'C': 'الحجم', 'D': 'درجة الحرارة', 'answer': 'D'}
{'question': 'ما هو الجهاز الذي يحول الطاقة الكهربائية إلى طاقة ميكانيكية؟', 'A': 'المولد الكهربائي', 'B': 'المحرك الكهربائي', 'C': 'البطارية', 'D': 'المحول الكهربائي', 'answer': 'B'}
{'question': 'ما هو العنصر الذي يتم استخدامه لتخزين الشحنات الكهربائية؟', 'A': 'المقاوم', 'B': 'المحول', 'C': 'المكثف', 'D': 'المحرك', 'answer': 'C'}
{'question': 'ما المصطلح الذي يُستخدم لوصف الحقل الناتج عن الشحنات الكهربائية؟', 'A': 'الحقل الكهرومغناطيسي', 'B': 'الحقل الجاذبي', 'C': 'الحقل الكهربائي', 'D': 'الحقل المغناطيسي', 'answer': 'C'}
{'question': 'ما هو الدور الأساسي للهندسة الكهربائية؟', 'A': 'تصميم الأجهزة الإلكترونية', 'B': 'بناء الهياكل المعمارية', 'C': 'تطوير البرمجيات', 'D': 'إجراء الأبحاث الطبية', 'answer': 'A'}
{'question': 'ما هي الوظيفة الرئيسية لمولد كهربائي؟', 'A': 'تحويل الطاقة الكهربائية إلى طاقة ميكانيكية', 'B': 'تخزين الطاقة الكهربائية', 'C': 'تحويل الطاقة الميكانيكية إلى كهربائية', 'D': 'تنقية الطاقة الكهربائية', 'answer': 'C'}
{'question': 'ما هو العنصر الذي يُستخدم لقياس الشحنات الكهربائية؟', 'A': 'الأميتر', 'B': 'الفولتميتر', 'C': 'الأومميتر', 'D': 'الكولومميتر', 'answer': 'D'}
{'question': 'ما هو الجهاز الذي يُستخدم لتحويل الطاقة الكهربائية إلى طاقة ميكانيكية؟', 'A': 'المحول الكهربائي', 'B': 'البطارية', 'C': 'المحرك الكهربائي', 'D': 'المكثف', 'answer': 'C'}
{'question': 'ما هي الخاصية الفيزيائية التي تحدد التفاعل الكهرومغناطيسي؟', 'A': 'الكتلة', 'B': 'الحجم', 'C': 'الشحنة الكهربائية', 'D': 'الطاقة الحرارية', 'answer': 'C'}
{'question': 'ما هو العامل الذي يؤثر على مقاومة مادة معينة؟', 'A': 'اللون', 'B': 'الحجم', 'C': 'الشكل', 'D': 'درجة الحرارة', 'answer': 'D'}
{'question': 'ما هو الرمز الذي يمثل المقاومة النوعية في مجال الهندسة الكهربائية؟', 'A': 'α', 'B': 'ρ', 'C': 'γ', 'D': 'λ', 'answer': 'B'}
{'question': 'ما هي الوحدة القياسية للمقاومة الكهربائية؟', 'A': 'الأمبير', 'B': 'الأوم', 'C': 'الفولت', 'D': 'الكولوم', 'answer': 'B'}
{'question': 'ما العلاقة بين المقاومة الكهربائية ودرجة الحرارة؟', 'A': 'علاقة طردية', 'B': 'علاقة عكسية', 'C': 'لا توجد علاقة', 'D': 'علاقة دورية', 'answer': 'A'}
{'question': 'ما هو الرمز الذي يُستخدم للإشارة إلى المقاومة الكهربائية المتغيرة مع الزمن؟', 'A': 'α', 'B': 'ρ', 'C': 'R(t)', 'D': 'q', 'answer': 'C'}
