question,A,B,C,D,answer
ما هو المقصود بالشحنة الكهربائية؟,كمية الطاقة في الجسم,كمية الحرارة المنتقلة,خاصية فيزيائية تحدد التفاعل الكهرومغناطيسي,سرعة تدفق الإلكترونات,C
ما هي وحدة قياس المقاومة الكهربائية؟,أمبير,أوم,فولت,واط,B
ما العامل الذي يؤثر على مقاومة مادة معينة؟,الحرارة,الضغط,الرطوبة,الإضاءة,A
ما هي العلاقة بين المقاومة ودرجة الحرارة في المواد؟,علاقة طردية,علاقة عكسية,لا توجد علاقة,علاقة دورية,A
ما هو الرمز المستخدم للمقاومة النوعية؟,α,ρ,γ,λ,B
ما هي الوحدة المستخدمة لقياس المقاومة النوعية؟,(Ω·m),(Ω·mm²)/m,Ω/cm,Ω/m,B
ما هو الحقل الذي يشمل دراسة الشحنات الكهربائية؟,الفيزياء النووية,الكيمياء الكهربائية,الهندسة الكهربائية,علم الأحياء,C
ما هو الجهاز الذي يستخدم لتحويل الطاقة الميكانيكية إلى كهربائية؟,المحول الكهربائي,المولد الكهربائي,البطارية,المكثف,B
ما هي الظاهرة الطبيعية المرتبطة بالشحنات الكهربائية في الغلاف الجوي؟,الزلازل,البرق,الأمواج الصوتية,الرياح,B
ما هو تأثير درجة الحرارة على مقاومة المواد الكهربائية؟,تزيد المقاومة مع ارتفاع الحرارة,تقل المقاومة مع ارتفاع الحرارة,تبقى المقاومة ثابتة مع تغير الحرارة,تتحول المادة إلى موصل مثالي عند ارتفاع الحرارة,A
ما هو الرمز المستخدم للتعبير عن المقاومة في الدوائر الكهربائية؟,V,I,R,C,C
ما هي الوحدة الأساسية للشحنة الكهربائية؟,الكولوم,الأمبير,الفولت,الجول,A
ما هو العنصر الذي يتم تحديده بواسطة الشحنة الكهربائية؟,التوصيل الحراري,التفاعل الكيميائي,التفاعل الكهرومغناطيسي,التفاعل النووي,C
ما هو العامل الذي يحدد مقدار الشحنة الكهربائية؟,الكتلة,الحجم,عدد الإلكترونات,اللون,C
ما هو القانون الذي يصف العلاقة بين الشحنة والتيار؟,قانون أوم,قانون كولوم,قانون فاراداي,قانون كيرشوف,C
ما هي الظاهرة التي تحدث عندما تتحرك الشحنات الكهربائية عبر موصل؟,التأين,التوصيل,الحث الكهرومغناطيسي,التحليل الكهربائي,B
ما هو العنصر الذي يتم استخدامه لقياس المقاومة الكهربائية؟,الأميتر,الفولتميتر,الأومميتر,المقاوم,C
