question,A,B,C,D,answer
What is the purpose of a flywheel in an engine?,To store energy,To convert rotational energy to linear energy,To reduce vibrations,To increase engine speed,A
What is the function of a piston in an engine?,To convert rotational energy to linear energy,To store fuel,To reduce friction,To convert linear energy to rotational energy,A
What is the purpose of a crankshaft in an engine?,To convert linear energy to rotational energy,To store fuel,To reduce friction,To convert rotational energy to linear energy,A
What is the function of a camshaft in an engine?,To open and close the valves,To store fuel,To reduce friction,To convert rotational energy to linear energy,A
What is the purpose of a radiator in an engine?,To store fuel,To reduce friction,To cool the engine,To convert rotational energy to linear energy,C
What is the function of a carburetor in an engine?,To mix air and fuel,To store fuel,To reduce friction,To convert rotational energy to linear energy,A
What is the purpose of a spark plug in an engine?,To ignite the fuel-air mixture,To store fuel,To reduce friction,To convert rotational energy to linear energy,A
What is the function of a transmission in a vehicle?,To store fuel,To reduce friction,To change gears,To convert rotational energy to linear energy,C
What is the purpose of a differential in a vehicle?,To store fuel,To reduce friction,To change gears,To allow the wheels to rotate at different speeds,D
What is the function of a brake in a vehicle?,To store fuel,To reduce friction,To change gears,To slow down or stop the vehicle,D
What is the purpose of a shock absorber in a vehicle?,To store fuel,To reduce friction,To change gears,To absorb shocks and improve ride comfort,D
What is the function of a steering system in a vehicle?,To store fuel,To reduce friction,To change gears,To control the direction of the vehicle,D
What is the purpose of a suspension system in a vehicle?,To store fuel,To reduce friction,To change gears,To support the weight of the vehicle and improve ride comfort,D
What is the function of a fuel system in an engine?,To store fuel,To reduce friction,To change gears,To supply fuel to the engine,D
What is the purpose of a lubrication system in an engine?,To store fuel,To reduce friction,To change gears,To reduce wear and tear on engine components,D
What is the function of a cooling system in an engine?,To store fuel,To reduce friction,To change gears,To maintain the engine at the optimal operating temperature,D
What is the purpose of a generator in a vehicle?,To store fuel,To reduce friction,To change gears,To generate electricity to power the vehicle's electrical systems,D
What is the function of a battery in a vehicle?,To store fuel,To reduce friction,To change gears,To store electrical energy and provide power to the vehicle's electrical systems,D
What is the purpose of a starter motor in an engine?,To store fuel,To reduce friction,To change gears,To start the engine,D
What is the function of a clutch in a manual transmission?,To store fuel,To reduce friction,To engage and disengage the engine from the transmission,To change gears,C
What is the purpose of a gear in a mechanical system?,To store energy,To convert rotational energy to linear energy,To change the speed or direction of rotation,To reduce friction,C
What is the function of a bearing in a mechanical system?,To support a rotating shaft,To store energy,To convert rotational energy to linear energy,To reduce friction,A
What is the purpose of a pulley in a mechanical system?,To change the speed or direction of rotation,To store energy,To convert rotational energy to linear energy,To transmit power from one shaft to another,D
What is the function of a valve in a mechanical system?,To control the flow of a fluid,To store energy,To convert rotational energy to linear energy,To reduce friction,A
What is the purpose of a pump in a mechanical system?,To control the flow of a fluid,To store energy,To convert rotational energy to linear energy,To move a fluid from one location to another,D
What is the function of a compressor in a mechanical system?,To control the flow of a fluid,To store energy,To compress a gas,To reduce friction,C
What is the purpose of a turbine in a mechanical system?,To control the flow of a fluid,To store energy,To convert the kinetic energy of a fluid into rotational energy,To reduce friction,C
What is the function of a heat exchanger in a mechanical system?,To control the flow of a fluid,To store energy,To transfer heat from one fluid to another,To reduce friction,C
What is the purpose of a filter in a mechanical system?,To control the flow of a fluid,To store energy,To remove contaminants from a fluid,To reduce friction,C
What is the function of a sensor in a mechanical system?,To control the flow of a fluid,To measure a physical quantity,To convert rotational energy to linear energy,To reduce friction,B
What is the purpose of a controller in a mechanical system?,To control the flow of a fluid,To measure a physical quantity,To make decisions based on sensor inputs,To reduce friction,C
What is the function of a motor in a mechanical system?,To control the flow of a fluid,To convert electrical energy into rotational energy,To convert rotational energy to linear energy,To reduce friction,B
What is the purpose of a generator in a mechanical system?,To control the flow of a fluid,To convert rotational energy into electrical energy,To convert rotational energy to linear energy,To reduce friction,B
What is the function of a transformer in a mechanical system?,To control the flow of a fluid,To change the voltage of an electrical signal,To convert rotational energy to linear energy,To reduce friction,B
What is the purpose of a rectifier in a mechanical system?,To control the flow of a fluid,To convert alternating current (AC) into direct current (DC),To convert rotational energy to linear energy,To reduce friction,B
