question,A,B,C,D,answer
ما هو تعريف الإحصاء؟,هو فرع من فروع الرياضيات يهتم بدراسة البيانات وتحليلها,هو دراسة الأشكال الهندسية والمتساويات,هو فرع من الفيزياء يدرس الحركة والقوى,هو تحليل البيانات بواسطة الجبر والهندسة,A
ما هي الخطوة الأولى في عملية التحليل الإحصائي؟,تجميع البيانات,تنظيف البيانات,تحليل البيانات,تحديد الأهداف,A
ما هو الفرق بين الإحصاء الوصفي والإحصاء التحليلي؟,الإحصاء الوصفي يركز على وصف البيانات بينما الإحصاء التحليلي يركز على تحليل العلاقات بينها,الإحصاء الوصفي يركز على تحليل العلاقات بين البيانات بينما الإحصاء التحليلي يركز على وصف البيانات,لا يوجد فرق بينهما,الإحصاء الوصفي يركز على العينة بينما الإحصاء التحليلي يركز على الشاملة,A
ما هو مفهوم العينة في الإحصاء؟,هي جميع العناصر في الدراسة,هي جزء من العناصر في الدراسة يمثل السكان الكلي,هي القيمة الوسطية في البيانات,هي الانحراف المعياري للبيانات,B
ما هي الخطوة الأخيرة في عملية التحليل الإحصائي؟,تحديد الأهداف,تحليل البيانات,تجميع البيانات,تفسير النتائج واستنتاج الاستنتاجات,D
ما هو الانحراف المعياري في الإحصاء؟,هو متوسط القيم في البيانات,هو قيمة البيانات الشاملة,هو مقياس لتباين البيانات حول المتوسط,هو القيمة الوسطية للبيانات,C
ما هو استخدام الإحصاء في الحياة العملية؟,تحليل البيانات الكبيرة في المواقع الاجتماعية,توجيه الصناعة لتحسين الإنتاجية,تقدير العمر الإجمالي للبشرية,تحليل الحركة السكانية في المناطق الحضرية,B
ما هو الاختلاف بين الإحصاء الاستدلالي والإحصاء التوضيحي؟,الإحصاء الاستدلالي يستخدم للتنبؤ بالنتائج بينما الإحصاء التوضيحي يستخدم لوصف البيانات المتاحة,الإحصاء الاستدلالي يعتمد على العينة بينما الإحصاء التوضيحي يعتمد على الشاملة,لا يوجد فرق بينهما,الإحصاء الاستدلالي يستخدم لتحليل العينات الصغيرة بينما الإحصاء التوضيحي يستخدم لتحليل العينات الكبيرة,A
ما هو استخدام الإحصاء في المجال الطبي؟,تحليل نتائج التجارب السريرية,تحليل الأداء الرياضي للرياضيين,تحليل البيانات البيئية,تحليل النتائج في البحوث السوسيولوجية,A
ما هي الطريقة المستخدمة في الإحصاء لاستنتاج النتائج عن السكان الكلي؟,العينة العشوائية,العينة الاختيارية,العينة الطوعية,العينة المركبة,A
ما هو تعريف الجبر؟,فرع من فروع الرياضيات يهتم بالعلاقات والتناظرات والتعابير الرمزية,فرع من الفيزياء يدرس الحركة والقوى,فرع من الرياضيات يدرس الأشكال الهندسية,فرع من الرياضيات يدرس الأعداد والعمليات الحسابية,A
ما هو العنصر الأساسي في الجبر؟,المعادلات,الأعداد,المتغيرات,الأشكال الهندسية,C
ما هو مفهوم المتغير في الجبر؟,قيمة ثابتة,رمز يمثل كمية قابلة للتغيير,عدد صحيح,شكل هندسي,B
ما هو مفهوم المعادلة في الجبر؟,عبارة رياضية تحتوي على متغير وتساوي قيمة معينة,عملية حسابية,نظام من الأعداد,قانون رياضي,A
ما هي الخطوة الأساسية في حل المعادلة؟,تجريد المتغير,ضرب الأعداد,تجزئة الأعداد,إضافة الأعداد,A
ما هو مفهوم التبادل في الجبر؟,عملية الجمع والطرح,تبديل قيمتين متغيرتين,ضرب وقسمة الأعداد,إضافة وطرح الأعداد,B
ما هو استخدام الجبر في الحياة اليومية؟,حساب المصاريف,تصميم الأشكال الهندسية,حساب مساحات الأراضي,تحليل البيانات الاقتصادية,A
ما هو مفهوم النسبة المئوية في الجبر؟,نسبة تساوي مئة,نسبة تُعبر عن جزء من المئة,نسبة تعبر عن النسبة بالنسبة للعدد الكلي,نسبة تعبر عن النسبة بالنسبة للعدد الجزئي,B
ما هو مفهوم التسلسل في الجبر؟,مجموعة من الأعداد المتتالية,مجموعة من العمليات الحسابية,مجموعة من المعادلات,مجموعة من الأشكال الهندسية,A
ما هو الفرق بين الجبر والهندسة؟,الجبر يدرس العلاقات الرمزية بينما الهندسة تدرس الأشكال الهندسية والمساحات,الجبر يدرس الأعداد بينما الهندسة تدرس النسب والنسب المئوية,الجبر يدرس الأشكال الهندسية بينما الهندسة تدرس العلاقات الرمزية,لا يوجد فرق بينهما,A
