question,A,B,C,D,answer
ما هو القانون الأول لنيوتن؟,القانون الثاني,القانون الأول,القانون الثالث,لا شيء مما سبق,B
ما هي وحدة القوة في النظام الدولي؟,جول,واط,نيوتن,متر,C
ما هو الفرق بين السرعة والتسارع؟,السرعة هي معدل تغير الموقع بمرور الوقت، بينما التسارع هو معدل تغير السرعة بمرور الوقت,التسارع هو معدل تغير الموقع بمرور الوقت، بينما السرعة هي معدل تغير السرعة بمرور الوقت,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هو القانون الثاني لنيوتن؟,القانون الثاني,القانون الأول,القانون الثالث,لا شيء مما سبق,A
ما هي وحدة الطاقة في النظام الدولي؟,جول,واط,نيوتن,متر,A
ما هو الفرق بين الطاقة الكينتيكية والطاقة الكامنة؟,الطاقة الكينتيكية هي الطاقة التي يمتلكها الجسم بسبب حركته، بينما الطاقة الكامنة هي الطاقة التي يمتلكها الجسم بسبب موقعه أو حالته,الطاقة الكامنة هي الطاقة التي يمتلكها الجسم بسبب حركته، بينما الطاقة الكينتيكية هي الطاقة التي يمتلكها الجسم بسبب موقعه أو حالته,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هو القانون الثالث لنيوتن؟,القانون الثاني,القانون الأول,القانون الثالث,لا شيء مما سبق,C
ما هي وحدة العمل في النظام الدولي؟,جول,واط,نيوتن,متر,A
ما هو الفرق بين الطاقة الحرارية والطاقة الكهربائية؟,الطاقة الحرارية هي الطاقة التي يمتلكها الجسم بسبب حركة جزيئاته، بينما الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي,الطاقة الكهربائية هي الطاقة التي يمتلكها الجسم بسبب حركة جزيئاته، بينما الطاقة الحرارية هي الطاقة التي يمتلكها الجسم بسبب وجود تيار كهربائي,لا يوجد فرق بينهما,كلا الجوابين الأول والثاني صحيح,A
ما هو القانون الرابع لنيوتن؟,القانون الثاني,القانون الأول,القانون الثالث,لا يوجد قانون رابع لنيوتن,D
ما هي وحدة القدرة في النظام الدولي؟,جول,واط,نيوتن,متر,B
