{'question': 'ما هي العناصر الأكثر شيوعًا في القشرة الأرضية؟', 'A': 'الألومنيوم', 'B': 'السليكون', 'C': 'الكالسيوم', 'D': 'البرونز', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/عناصر_الجدول_الدوري', 'id': 0}
{'question': 'ما هي العنصر الأكثر شيوعًا في الجسم البشري؟', 'A': 'الكالسيوم', 'B': 'البرونز', 'C': 'الفوسفور', 'D': 'الكربون', 'answer': 'D', 'source': 'https://ar.wikipedia.org/wiki/مركبات_الجسم_البشري', 'id': 1}
{'question': 'ما هي الأشكال الأكثر شيوعًا للمركبات الكيميائية؟', 'A': 'المركبات العضوية', 'B': 'المركبات الغير عضوية', 'C': 'المركبات الأحادية', 'D': 'المركبات المتعددة العناصر', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/مركبات_كيميائية', 'id': 2}
{'question': 'ما هي الكيمياء العضوية؟', 'A': 'فرع من الكيمياء الجزيئية التي تدرس المركبات العضوية', 'B': 'فرع من الكيمياء الجزيئية التي تدرس المركبات الغير عضوية', 'C': 'فرع من الكيمياء العامة التي تدرس جميع المركبات', 'D': 'فرع من الكيمياء العامة التي تدرس المواد المعدنية', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/كيمياء_عضوية', 'id': 3}
{'question': 'ما هو عدد إلكترونات الأولى للكربون؟', 'A': '1', 'B': '2', 'C': '3', 'D': '4', 'answer': 'B', 'source': 'https://ar.wikipedia.org/wiki/كربون', 'id': 4}
{'question': 'ما هي المركبات المعدنية الأكثر شيوعًا؟', 'A': 'الأكسجينات', 'B': 'الكربونات', 'C': 'النترات', 'D': 'الكلوريد', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/مركبات_معدنية', 'id': 5}
{'question': 'ما هي المركبات الأكسجينات؟', 'A': 'المركبات التي تحتوي على ذرات الأكسجين', 'B': 'المركبات التي تحتوي على ذرات الكربون', 'C': 'المركبات التي تحتوي على ذرات الهيدروجين', 'D': 'المركبات التي تحتوي على ذرات الأزوت', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/أكسجينات', 'id': 6}
{'question': 'ما هي المركبات الكربونات؟', 'A': 'المركبات التي تحتوي على ذرات الكربون', 'B': 'المركبات التي تحتوي على ذرات الأكسجين', 'C': 'المركبات التي تحتوي على ذرات الهيدروجين', 'D': 'المركبات التي تحتوي على ذرات الأزوت', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/كربونات', 'id': 7}
{'question': 'ما هي المركبات النترات؟', 'A': 'المركبات التي تحتوي على ذرات النيتروجين', 'B': 'المركبات التي تحتوي على ذرات الأكسجين', 'C': 'المركبات التي تحتوي على ذرات الهيدروجين', 'D': 'المركبات التي تحتوي على ذرات الأزوت', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/نترات', 'id': 8}
{'question': 'ما هي المركبات الكلوريدات؟', 'A': 'المركبات التي تحتوي على ذرات الكلور', 'B': 'المركبات التي تحتوي على ذرات الأكسجين', 'C': 'المركبات التي تحتوي على ذرات الهيدروجين', 'D': 'المركبات التي تحتوي على ذرات الأزوت', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/كلوريدات', 'id': 9}
{'question': 'ما هي المركبات الأزوتية؟', 'A': 'المركبات التي تحتوي على ذرات الأزوت', 'B': 'المركبات التي تحتوي على ذرات الأكسجين', 'C': 'المركبات التي تحتوي على ذرات الهيدروجين', 'D': 'المركبات التي تحتوي على ذرات الكربون', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/أزوتيات', 'id': 10}
{'question': 'ما هي المركبات الأحادية؟', 'A': 'المركبات التي تحتوي على ذرة واحدة', 'B': 'المركبات التي تحتوي على عدة ذرات', 'C': 'المركبات التي تحتوي على ذرات متنوعة', 'D': 'المركبات التي تحتوي على ذرات واحدة وعدة ذرات', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/مركبات_كيميائية', 'id': 11}
{'question': 'ما هي المركبات المتعددة العناصر؟', 'A': 'المركبات التي تحتوي على ذرة واحدة', 'B': 'المركبات التي تحتوي على عدة ذرات', 'C': 'المركبات التي تحتوي على ذرات متنوعة', 'D': 'المركبات التي تحتوي على ذرات واحدة وعدة ذرات', 'answer': 'B', 'source': 'https://ar.wikipedia.org/wiki/مركبات_كيميائية', 'id': 12}
{'question': 'ما هي العملية الكيميائية للاحتراق؟', 'A': 'تحول المواد العضوية إلى أكسجين وماء', 'B': 'تحول المواد العضوية إلى كربون وماء', 'C': 'تحول المواد العضوية إلى كربون وهيدروجين', 'D': 'تحول المواد العضوية إلى أكسجين وهيدروجين', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/احتراق', 'id': 13}
{'question': 'ما هي العملية الكيميائية للانصهار؟', 'A': 'تحول المواد العضوية إلى حالة الغاز', 'B': 'تحول المواد العضوية إلى حالة السائل', 'C': 'تحول المواد العضوية إلى حالة الصلصال', 'D': 'تحول المواد العضوية إلى حالة الجاف', 'answer': 'B', 'source': 'https://ar.wikipedia.org/wiki/انصهار', 'id': 14}
{'question': 'ما هي المركبات الأكسجينات الأكثر شيوعًا؟', 'A': 'الكلسيت', 'B': 'الكاربونات الكالسيومية', 'C': 'السودا', 'D': 'الحجر الجيري', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/أكسجينات', 'id': 15}
{'question': 'ما هي المركبات الغير عضوية؟', 'A': 'المركبات التي تحتوي على ذرات الكربون', 'B': 'المركبات التي لا تحتوي على ذرات الكربون', 'C': 'المركبات التي تحتوي على ذرات الهيدروجين', 'D': 'المركبات التي تحتوي على ذرات الأكسجين', 'answer': 'B', 'source': 'https://ar.wikipedia.org/wiki/مركبات_غير_عضوية', 'id': 16}
{'question': 'ما هي المركبات المعدنية؟', 'A': 'المركبات التي تحتوي على ذرات الكربون', 'B': 'المركبات التي لا تحتوي على ذرات الكربون', 'C': 'المركبات التي تحتوي على ذرات الهيدروجين', 'D': 'المركبات التي تحتوي على ذرات الأكسجين', 'answer': 'B', 'source': 'https://ar.wikipedia.org/wiki/مركبات_معدنية', 'id': 17}
{'question': 'ما هي المركبات المعدنية الأكثر شيوعًا؟', 'A': 'الأكسجينات', 'B': 'الكربونات', 'C': 'النترات', 'D': 'الكلوريد', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/مركبات_معدنية', 'id': 18}
{'question': 'ما هي المركبات الأكسجينات الأكثر شيوعًا؟', 'A': 'الكلسيت', 'B': 'الكاربونات الكالسيومية', 'C': 'السودا', 'D': 'الحجر الجيري', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/أكسجينات', 'id': 19}
{'question': 'ما هي طريقة اختبار الرصاص في الكيمياء؟', 'A': 'التفاعل مع الكبريت', 'B': 'التفاعل مع الأكسجين', 'C': 'التفاعل مع الكبريتات', 'D': 'التفاعل مع النحاس', 'answer': 'C', 'source': 'https://ar.wikipedia.org/wiki/الرصاص#الرصاص_في_التاريخ', 'id': 20}
{'question': 'ما هي نوعين من البرازة في المواد المعدنية؟', 'A': 'البرازة العضوية', 'B': 'البرازة المعدنية', 'C': 'البرازة المغناطيسية', 'D': 'البرازة الكهروكيميائية', 'answer': 'B', 'source': 'https://ar.wikipedia.org/wiki/البرازة#البرازة_في_المواد_المعدنية', 'id': 21}
{'question': 'ما هي طريقة استخراج المعادن من التربة؟', 'A': 'التعدين البالغرافي', 'B': 'التعدين البحري', 'C': 'التعدين الجوفي', 'D': 'التعدين السطحي', 'answer': 'C', 'source': 'https://ar.wikipedia.org/wiki/التعدين#التعدين_الجوفي', 'id': 22}
{'question': 'ما هي أصل الكيمياء العضوية؟', 'A': 'الهيكل المعروف', 'B': 'التفاعل الكيميائي', 'C': 'التوائم الفيزيائية', 'D': 'الاتصال المادي', 'answer': 'B', 'source': 'https://ar.wikipedia.org/wiki/الكيمياء_العضوية#التفاعل_الكيميائي', 'id': 23}
{'question': 'ما هي الطبقة الأولى من الأتموسفير في بنية العملات؟', 'A': 'الطبقة النائبة', 'B': 'الطبقة التعاملية', 'C': 'الطبقة المعرفية', 'D': 'الطبقة الملكية', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/العملات_(الكمبيوتر)#الطبقات_الأولية_للعملات', 'id': 24}
{'question': 'ما هي تركيبة هيدروجين المدرفل؟', 'A': 'H2O', 'B': 'H2SO4', 'C': 'NH3', 'D': 'CH4', 'answer': 'D', 'source': 'https://ar.wikipedia.org/wiki/الهيدروجين_المدرفل', 'id': 25}
{'question': 'ما هي صيغة الإيثانول؟', 'A': 'C2H4', 'B': 'C2H2', 'C': 'C2H6', 'D': 'C2H8', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/الإيثانول', 'id': 26}
{'question': 'ما هي صيغة بوليمر الإيثيلين؟', 'A': 'C2H4', 'B': 'C2H2', 'C': 'C2H6', 'D': 'C2H8', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/الإيثانول', 'id': 27}
{'question': 'ما هي التصنيف الرئيسي للمواد الكيميائية؟', 'A': 'من حيث التأثير الكيميائي', 'B': 'من حيث الحالة المادية', 'C': 'من حيث الكمية الموجبة', 'D': 'من حيث الكمية السالبة', 'answer': 'B', 'source': 'https://ar.wikipedia.org/wiki/المواد_الكيميائية#التصنيف_الرئيسي_للمواد_الكيميائية', 'id': 28}
{'question': 'ما هي صيغة بوليمر البروبلين؟', 'A': 'C3H6', 'B': 'C3H8', 'C': 'C3H10', 'D': 'C3H12', 'answer': 'C', 'source': 'https://ar.wikipedia.org/wiki/البروبلين', 'id': 29}
{'question': 'ما هي صيغة بوليمر الهيدروجين المدرفل؟', 'A': 'CH4', 'B': 'C2H4', 'C': 'C2H6', 'D': 'C2H8', 'answer': 'C', 'source': 'https://ar.wikipedia.org/wiki/الهيدروجين_المدرفل', 'id': 30}
{'question': 'ما هي صيغة الأكسجين؟', 'A': 'O2', 'B': 'O3', 'C': 'O4', 'D': 'O5', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/الأكسجين', 'id': 31}
{'question': 'ما هي صيغة النيتروجين؟', 'A': 'N2', 'B': 'N3', 'C': 'N4', 'D': 'N5', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/النيتروجين', 'id': 32}
{'question': 'ما هي صيغة الكربون؟', 'A': 'C2', 'B': 'C3', 'C': 'C4', 'D': 'C5', 'answer': 'A', 'source': 'https://ar.wikipedia.org/wiki/الكربون', 'id': 33}
{'question': 'ما هي صيغة بوليمر البوليمر البتادين؟', 'A': 'C4H8', 'B': 'C4H10', 'C': 'C4H12', 'D': 'C4H14', 'answer': 'B', 'source': 'https://ar.wikipedia.org/wiki/البوليمر_البتادين', 'id': 34}
{'question': 'ما هي صيغة الأكسيد الكربوني؟', 'A': 'CO', 'B': 'CO2', 'C': 'CO3', 'D': 'CO4', 'answer': 'B', 'source': 'https://ar.wikipedia.org/wiki/الأكسيد_الكربوني', 'id': 35}
{'question': 'ما هي صيغة بوليمر البتادين السكولين؟', 'A': 'C4H8', 'B': 'C4H10', 'C': 'C4H12', 'D': 'C4H14', 'answer': 'B', 'source': 'https://ar.wikipedia.org/wiki/بوليمر_البتادين_السكولين', 'id': 36}
{'question': 'ما هي صيغة بوليمر البتادين السيليكوني؟', 'A': 'C4H8', 'B': 'C4H10', 'C': 'C4H12', 'D': 'C4H14', 'answer': 'B', 'source': 'https://ar.wikipedia.org/wiki/بوليمر_البتادين_السيليكوني', 'id': 37}
{'question': 'ما هي صيغة بوليمر البتادين الهيدروكربوناتي؟', 'A': 'C4H8', 'B': 'C4H10', 'C': 'C4H12', 'D': 'C4H14', 'answer': 'B', 'source': 'https://ar.wikipedia.org/wiki/بوليمر_البتادين_الهيدروكربوناتي', 'id': 38}
{'question': 'ما رقم المجموعة الذي تنتمي إليه الهلوجينات؟', 'A': '13', 'B': '15', 'C': '17', 'D': '19', 'answer': 'C', 'id': 39}
{'question': 'أين توجد العناصر التي لها نفس عدد الإلكترونات في مستوى الطاقة الخارجي؟', 'A': 'في نفس الصف', 'B': 'في نفس العمود', 'C': 'في نفس الفترة', 'D': 'في نفس الكتلة', 'answer': 'B', 'id': 40}
{'question': 'ما ترتيب العناصر في الجدول الدوري؟', 'A': 'حسب العدد الذري', 'B': 'حسب الكتلة الذرية', 'C': 'حسب التوزيع الإلكتروني', 'D': 'حسب النقطة الثلاثية', 'answer': 'A', 'id': 41}
{'question': 'ما عدد مستويات الطاقة في ذرة عنصر موجود في الدورة الخامسة؟', 'A': '3', 'B': '4', 'C': '5', 'D': '6', 'answer': 'C', 'id': 42}
{'question': 'ما هو العنصر الذي لا يوجد لديه إلكترونات حرة؟', 'A': 'النحاس', 'B': 'الفضة', 'C': 'الزئبق', 'D': 'الألمنيوم', 'answer': 'C', 'id': 43}
{'question': 'ما هو العنصر الذي يكون غازيًا في درجة حرارة الغرفة؟', 'A': 'الهيليوم', 'B': 'الأكسجين', 'C': 'النيتروجين', 'D': 'الكبريت', 'answer': 'A', 'id': 44}
{'question': 'ما هو أصغر عنصر في الجدول الدوري؟', 'A': 'الهيدروجين', 'B': 'الهيليوم', 'C': 'الليثيوم', 'D': 'البوتاسيوم', 'answer': 'A', 'id': 45}
{'question': 'ما هو العنصر الذي يعرف بالملح؟', 'A': 'البوتاسيوم', 'B': 'الصوديوم', 'C': 'الكلور', 'D': 'الفلور', 'answer': 'B', 'id': 46}
{'question': 'ما هي المجموعة التي ينتمي إليها الهيليوم في الجدول الدوري؟', 'A': 'المجموعة 18', 'B': 'المجموعة 17', 'C': 'المجموعة 1', 'D': 'المجموعة 2', 'answer': 'A', 'id': 47}
{'question': 'ما هو العنصر الذي يشكل غالبية الغلاف الجوي؟', 'A': 'الأكسجين', 'B': 'النيتروجين', 'C': 'الهيدروجين', 'D': 'الكربون', 'answer': 'B', 'id': 48}
{'question': 'ما هو العنصر الذي يستخدم في الأسلاك الكهربائية بسبب مرونته وقدرته على توصيل الكهرباء؟', 'A': 'الفضة', 'B': 'النحاس', 'C': 'الألومنيوم', 'D': 'الحديد', 'answer': 'B', 'id': 49}
{'question': 'ما هو العنصر الذي يستخدم في صناعة الزجاج؟', 'A': 'الصوديوم', 'B': 'البوتاسيوم', 'C': 'الفلور', 'D': 'الكالسيوم', 'answer': 'D', 'id': 50}
{'question': 'ما هو العنصر الذي يستخدم في الأطراف الصلبة للطائرات والمركبات الفضائية؟', 'A': 'التيتانيوم', 'B': 'الألومنيوم', 'C': 'المغنيسيوم', 'D': 'الحديد', 'answer': 'B', 'id': 51}
{'question': 'ما هو العنصر الذي يستخدم في إنتاج البطاريات القابلة لإعادة الشحن؟', 'A': 'الرصاص', 'B': 'الزئبق', 'C': 'النيكل', 'D': 'البلاتين', 'answer': 'C', 'id': 52}
{'question': 'من الفلاسفة الذين اقترحوا وجود الذرات في اليونان القديمة؟', 'A': 'ديموقريطوس', 'B': 'أرسطو', 'C': 'أفلاطون', 'D': 'سقراط', 'answer': 'A', 'id': 53}
{'question': 'من الفلاسفة الهنود الذين اقترحوا وجود الذرات؟', 'A': 'كانادا', 'B': 'باتانجالي', 'C': 'غواوتاما بوذا', 'D': 'ماهارشي شودانا', 'answer': 'A', 'id': 54}
{'question': 'ما هو الاسم الذي أطلقه كانادا على الذرات في فلسفته؟', 'A': 'بارامانوس', 'B': 'أنو', 'C': 'فيشيشا', 'D': 'درايفيا', 'answer': 'A', 'id': 55}
{'question': 'من العلماء الذين أعادوا إحياء النظرية الذرية في القرن السابع عشر؟', 'A': 'إسحاق نيوتن', 'B': 'بيير جاسندي', 'C': 'أنطوان لافوازييه', 'D': 'جون دالتون', 'answer': 'B', 'id': 56}
{'question': 'متى بدأت دراسة الكيمياء كعلم منفصل؟', 'A': 'في العصور الوسطى', 'B': 'في العصور القديمة', 'C': 'في العصور الحديثة', 'D': 'في العصور الحديثة المبكرة', 'answer': 'D', 'id': 57}
{'question': 'من هو الكيميائي الذي اقترح وجود الذرات في اليونان القديمة؟', 'A': 'أرسطو', 'B': 'ديموقريطس', 'C': 'أفلاطون', 'D': 'أرخميدس', 'answer': 'B', 'id': 58}
{'question': 'متى تم نشر الطبعة الأولى من الجدول الدوري للعناصر؟', 'A': 'في القرن التاسع عشر', 'B': 'في القرن العشرين', 'C': 'في القرن الثامن عشر', 'D': 'في القرن السابع عشر', 'answer': 'A', 'id': 59}
{'question': 'من هو العالم الذي اكتشف الفلور؟', 'A': 'ماري كوري', 'B': 'أنطوان لافوازيه', 'C': 'دميتري مندليف', 'D': 'هنري موسلي', 'answer': 'B', 'id': 60}
{'question': 'ما هي العملية التي تسمى بتقنية الكيمياء الخضراء؟', 'A': 'التفاعل الأنظف', 'B': 'الكيمياء البيئية', 'C': 'التقنيات الكيميائية الصديقة للبيئة', 'D': 'تكنولوجيا الكيمياء الخضراء', 'answer': 'C', 'id': 61}
{'question': 'من هو الكيميائي الذي اكتشف الكتلة الذرية؟', 'A': 'أفوجادرو', 'B': 'لويس بيستور', 'C': 'أرخميدس', 'D': 'جون دالتون', 'answer': 'A', 'id': 62}
{'question': 'ما هو الاسم الذي يعرف به الكيميائي الذي يعتبر أبو الكيمياء الحديثة؟', 'A': 'ديموقريطس', 'B': 'أفلاطون', 'C': 'أرسطو', 'D': 'أفوجادرو', 'answer': 'D', 'id': 63}
{'question': 'متى اكتشف لويس بيستور عملية التعقيم؟', 'A': 'في القرن التاسع عشر', 'B': 'في القرن الثامن عشر', 'C': 'في القرن السابع عشر', 'D': 'في القرن السادس عشر', 'answer': 'A', 'id': 64}
{'question': 'ما هي العملية التي تسمى بتفاعل الأوكسجين؟', 'A': 'التحلل', 'B': 'التحول', 'C': 'الاختزال', 'D': 'التأكسد', 'answer': 'D', 'id': 65}
{'question': 'من هو العالم الذي اكتشف التركيب الدوري للعناصر؟', 'A': 'ديميتري مندليف', 'B': 'جون دالتون', 'C': 'لويس بيستور', 'D': 'أفوجادرو', 'answer': 'A', 'id': 66}
{'question': 'من الذي اقترح أن الجزيئات تتكون من ذرات بينها قوى جذب؟', 'A': 'بيير جاسندي', 'B': 'جيمس كليرك ماكسويل', 'C': 'لودفيج بولتزمان', 'D': 'لينوس باولنغ', 'answer': 'C', 'id': 67}
{'question': 'من الذي نشر مقالة شهيرة بعنوان الجزئيات في مجلة نيتشر؟', 'A': 'بيير جاسندي', 'B': 'جيمس كليرك ماكسويل', 'C': 'لودفيج بولتزمان', 'D': 'لينوس باولنغ', 'answer': 'B', 'id': 68}
{'question': 'من الذي اقترح أن ذرات الكربون رباعية التكافؤ؟', 'A': 'بيير جاسندي', 'B': 'أوغست كيكولة', 'C': 'ألكسندر كروم براون', 'D': 'جيلبرت نيوتن لويس', 'answer': 'B', 'id': 69}
{'question': 'ما هي نظرية الجزيئات؟', 'A': 'هي نظرية تفسر الطريقة التي يتفاعل بها الجسيمات المكونة للمادة', 'B': 'هي نظرية تفسر البنية الداخلية للذرات', 'C': 'هي نظرية تفسر تشكل العناصر الكيميائية', 'D': 'هي نظرية تفسر حركة الذرات في الفضاء', 'answer': 'A', 'id': 70}
{'question': 'من اقترح أول نموذج للجزيئات؟', 'A': 'ديموقريطس', 'B': 'أرسطو', 'C': 'أفلاطون', 'D': 'أفوجادرو', 'answer': 'A', 'id': 71}
{'question': 'ما هي الفرضية الأساسية في نظرية الجزيئات؟', 'A': 'أن الجسيمات تتكون من جزيئات صغيرة', 'B': 'أن الجسيمات لا تتفاعل مع بعضها', 'C': 'أن الجسيمات ليست لها هيكل محدد', 'D': 'أن الجسيمات تتحرك بسرعة ثابتة', 'answer': 'A', 'id': 72}
{'question': 'من اقترح نظرية الجزيئات المثالية؟', 'A': 'أفوجادرو', 'B': 'ديميتري مندليف', 'C': 'أرسطو', 'D': 'جون دالتون', 'answer': 'A', 'id': 73}
{'question': 'ما هو الهدف الرئيسي لنظرية الجزيئات؟', 'A': 'تفسير البنية الداخلية للذرات', 'B': 'تفسير سلوك المواد وتفاعلها', 'C': 'اكتشاف عناصر جديدة', 'D': 'توضيح حركة الجسيمات في الفضاء', 'answer': 'B', 'id': 74}
{'question': 'ما هو الفرض الرئيسي في نظرية الجزيئات للمواد؟', 'A': 'أن المواد تتكون من جزيئات غير قابلة للتجزئة', 'B': 'أن المواد تتكون من جسيمات صغيرة تتفاعل مع بعضها', 'C': 'أن المواد تتكون من ذرات متطايرة في الفضاء', 'D': 'أن المواد ليست لها بنية داخلية', 'answer': 'B', 'id': 75}
{'question': 'من أول عالم اقترح أن الجسيمات تتكون من جزيئات أصغر؟', 'A': 'ديموقريطس', 'B': 'أرسطو', 'C': 'أفوجادرو', 'D': 'أفلاطون', 'answer': 'A', 'id': 76}
{'question': 'ما هو العامل الذي يحدد السلوك الكيميائي للمواد؟', 'A': 'الجسيمات', 'B': 'الذرات', 'C': 'الجزيئات', 'D': 'النواة', 'answer': 'C', 'id': 77}
{'question': 'ما هو العملية التي تشير إلى حركة الجزيئات من مناطق عالية التركيز إلى مناطق منخفضة التركيز؟', 'A': 'التوازن الديناميكي', 'B': 'الانصهار', 'C': 'التبخر', 'D': 'الانتشار', 'answer': 'D', 'id': 78}
{'question': 'ما هي الظاهرة التي يقترحها نظرية الجزيئات لتفسير ارتفاع ضغط الغاز عند تسخينه؟', 'A': 'زيادة سرعة الجزيئات', 'B': 'زيادة تركيز الجزيئات', 'C': 'تصادم الجزيئات', 'D': 'تحرك الجزيئات بشكل أكبر', 'answer': 'C', 'id': 79}
{'question': 'ما هو العامل الذي يؤدي إلى زيادة سرعة الجزيئات في السائل عند تسخينه؟', 'A': 'تحول الجزيئات إلى غاز', 'B': 'انفصال الجزيئات عن بعضها', 'C': 'زيادة تركيز الجزيئات', 'D': 'زيادة تحرك الجزيئات', 'answer': 'D', 'id': 80}
{'question': 'ما هو الجزء الذي يناقش نظرية فيسبر؟', 'A': 'المعادلة الملكية', 'B': 'هندسة جزيئية', 'C': 'حجم الجزيء', 'D': 'الطيف الجزيئي', 'answer': 'B', 'id': 81}
{'question': 'ما هو المجال الذي يدرس أصغر وحدة من المادة الكيميائية النقية المحتفظة بتركيبها الكيميائي وخواصها؟', 'A': 'الكيمياء الجزيئية', 'B': 'علم الأحياء الجزيئي', 'C': 'الفيزياء الجزيئية', 'D': 'الكيمياء الحسابية', 'answer': 'A', 'id': 82}
{'question': 'ما هو التعريف العلمي للجزيء؟', 'A': 'هو أصغر وحدة من المادة الكيميائية يمكن أن تشارك في التفاعلات الكيميائية', 'B': 'هو تجمع من الذرات يتكون منه المركبات الكيميائية', 'C': 'هو تجمع من الجزيئات الأصغر حجمًا', 'D': 'هو عنصر كيميائي يتكون منه المركبات الكيميائية', 'answer': 'A', 'id': 83}
{'question': 'ما هو الفرق بين الجزيء والذرة؟', 'A': 'الجزيء هو أصغر وحدة من المادة الكيميائية بينما الذرة هي وحدة أساسية من العنصر', 'B': 'الذرة تتكون من الإلكترونات والبروتونات والنيوترونات بينما الجزيء يتكون من ذرات', 'C': 'الجزيء يتكون من الجزيئات بينما الذرة تتكون من الذرات', 'D': 'لا فرق بينهما', 'answer': 'A', 'id': 84}
{'question': 'ما هي الحالة الطبيعية للجزيء في الغاز؟', 'A': 'الجزيء في شكل متجمد', 'B': 'الجزيء في شكل سائل', 'C': 'الجزيء في شكل غازي', 'D': 'الجزيء في شكل بخار', 'answer': 'C', 'id': 85}
{'question': 'ما هي القوى التي تجذب الجزيئات في المواد السائلة؟', 'A': 'القوى الكهربائية', 'B': 'القوى الجاذبة', 'C': 'القوى الجزيئية', 'D': 'القوى الكيميائية', 'answer': 'C', 'id': 86}
{'question': 'ما هو الترتيب الهندسي للجزيئات في الصلب؟', 'A': 'ترتيب عشوائي', 'B': 'ترتيب مترابط', 'C': 'ترتيب متسلسل', 'D': 'ترتيب متساوي', 'answer': 'B', 'id': 87}
