question,A,B,C,D,answer
Which of the following is NOT a macromolecule?,Protein,Lipid,Carbohydrate,DNA,D
What is the powerhouse of the cell?,Golgi apparatus,Mitochondria,Ribosome,Endoplasmic reticulum,B
Which of the following is NOT a characteristic of living organisms?,Growth,Reproduction,Photosynthesis,Decomposition,C
Which of the following is NOT a type of tissue in the human body?,Muscle,Nerve,Digestive,Mitochondrial,D
What is the largest organ in the human body?,Brain,Skin,Liver,Heart,B
What is the function of the red blood cells?,Carrying oxygen,Producing antibodies,Digesting food,Pumping blood,A
What is the main function of the respiratory system?,Pumping blood,Producing hormones,Exchanging gases,Breaking down food,C
Which of the following is NOT part of the digestive system?,Stomach,Liver,Heart,Small intestine,C
Which of the following is responsible for carrying genetic information?,RNA,Ribosome,Chromosome,Nucleus,C
What is the process by which plants make their own food called?,Photosynthesis,Respiration,Fermentation,Combustion,A
Which of the following is NOT a function of the skeletal system?,Protection of internal organs,Production of blood cells,Facilitating movement,Digesting food,D
What is the main function of the nervous system?,Transporting oxygen,Maintaining body temperature,Controlling body movements,Filtering waste from the blood,C
Which of the following is NOT a type of muscle tissue?,Cardiac,Skeletal,Nerve,Smooth,C
What is the function of the immune system?,Regulating body temperature,Producing hormones,Protecting the body from pathogens,Digesting food,C
What is the main function of the circulatory system?,Exchanging gases,Breaking down food,Transporting nutrients and oxygen,Regulating body temperature,C
Which of the following is NOT a component of blood?,Plasma,Platelets,White blood cells,Cartilage,D
What is the primary function of the kidneys?,Producing bile,Filtering waste from the blood,Producing insulin,Storing nutrients,B
Which of the following is NOT a type of cell division?,Mitosis,Meiosis,Fermentation,Binary fission,C
What is the function of the endocrine system?,Producing enzymes,Controlling growth and development,Transporting nutrients,Producing antibodies,B
Which of the following is NOT a function of the integumentary system?,Protection against pathogens,Regulating body temperature,Producing hormones,Sensory perception,C
What is the basic unit of life?,Atom,Molecule,Cell,Organ,C
Which organelle is known as the control center of the cell?,Nucleus,Mitochondria,Ribosome,Golgi apparatus,A
Which process do plants use to convert sunlight into food?,Respiration,Transpiration,Photosynthesis,Digestion,C
What is the genetic material in a cell?,RNA,DNA,Proteins,Carbohydrates,B
Which of the following is a type of symbiotic relationship where both species benefit?,Parasitism,Commensalism,Mutualism,Competition,C
Which kingdom do mushrooms belong to?,Plantae,Animalia,Fungi,Protista,C
What is the term for a change in the DNA sequence?,Mutation,Transcription,Translation,Replication,A
What is the molecule that carries oxygen in the blood?,Hemoglobin,Myoglobin,Chlorophyll,Albumin,A
Which part of the brain controls balance and coordination?,Cerebrum,Cerebellum,Medulla,Thalamus,B
What is the primary function of white blood cells?,Transporting oxygen,Clotting blood,Fighting infections,Carrying nutrients,C
Which of the following is a structural carbohydrate found in plants?,Glucose,Starch,Cellulose,Glycogen,C
What type of bond holds the two strands of DNA together?,Ionic bond,Hydrogen bond,Covalent bond,Metallic bond,B
Which enzyme breaks down starches into sugars?,Lipase,Protease,Amylase,Nuclease,C
What is the primary pigment used in photosynthesis?,Carotene,Xanthophyll,Chlorophyll,Anthocyanin,C
What is the process by which cells divide to form two identical daughter cells?,Meiosis,Binary fission,Mitosis,Budding,C
Which gas is a byproduct of photosynthesis?,Carbon dioxide,Oxygen,Nitrogen,Methane,B
