question,A,B,C,D,answer
ما هي أسباب جعل الفيروسات من الأدوات المهمة التي أسهمت في تطور الأحياء الجزيئية؟,الشيفرة الوراثية,طريقة عمل انزيم الحمض النووي الريبوزومي,مكتبة الجينات,الكل,D
ما هي المادة المستخدمة في نمو العظام؟,المغنيسيوم,الكالسيوم,الحديد,الفوسفور,B
ما هي الخلايا التي يحيط بها النسيج الضام في العظام؟,الخلايا العظمية,الخلايا الغضروفية,الخلايا النجمية,الخلايا الليفية,A
ما هو هرمون الغدة الدرقية الذي يعمل على تنظيم معدل الأيض في الجسم؟,هرمون الغدة الدرقية ثلاثي اليودوثيرونين T3,هرمون الغدة الدرقية رباعي اليودوثيرونين T4,هرمون الغدة جار الدرقية,هرمون الكالسيتونين,A
ما هو الفرع العلمي الذي يدرس الخلايا الحية وأحماضها النووية والرنا والبروتينات العابرة؟,علم الخلية,علم التشريح,علم الوراثة,علم الأحياء التطوري,A
ما هو هرمون النمو الذي تفرزه الغدة النخامية؟,هرمون النمو,البرولاكتين,الأوكسيتوسين,الفازوبريسين,A
ما هو نوع الترابط الذي يوجد بين الأحماض الأمينية في البروتينات؟,الترابط التساهمي,الترابط الأيوني,الترابط الهيدروجيني,الترابط البيبتيدي,D
ما هو الفرع العلمي الذي يدرس أصل وتطور الكائنات الحية؟,علم الوراثة,علم الأحياء التطوري,علم الأحياء القديمة,علم البيئة,B
ما هو نوع الخلايا التي تشكل العضلات؟,الخلايا العضلية,الخلايا العصبية,الخلايا الظهارية,الخلايا الدهنية,A
ما هو العضو المسؤول عن إنتاج الصفراء؟,الكبد,المعدة,البنكرياس,الطحال,A
ما هو نوع التكاثر الذي يحدث عندما تندمج خليتان جنسيتان؟,التكاثر اللاجنسي,التكاثر الجنسي,التبرعم,الانقسام الثنائي,B
ما هو هرمون الغدة النخامية الذي يحفز الغدد التناسلية على إنتاج الهرمونات؟,هرمون النمو,الهرمون المنشط للغدة الدرقية,هرمون الغدد التناسلية المنبه,هرمون البرولاكتين,C
