question,A,B,C,D,answer
ما هي المادة الأساسية المستخدمة في الخرسانة المسلحة؟,الحديد,الألمنيوم,النحاس,الفولاذ,A
ما هي الوظيفة الرئيسية لمجاري الصرف الصحي؟,تصريف المياه النظيفة,تصريف المياه العادمة,تنقية المياه,تخزين المياه النظيفة,B
ما هي الوظيفة الرئيسية للهندسة المدنية؟,بناء الأبراج,تصميم السيارات,تخطيط وبناء البنية التحتية,تصميم الأجهزة الكهربائية,C
ما هي الخصائص الرئيسية للخرسانة المسلحة؟,القوة والمتانة,المرونة واللدونة,الشفافية والليونة,اللزوجة والمرونة,A
ما هي الوظيفة الأساسية لشبكات مجاري الصرف الصحي؟,تصريف المياه النظيفة,تصريف المياه العادمة,تنقية المياه,تخزين المياه النظيفة,B
ما هي الخطوات الرئيسية في تصميم البنية التحتية؟,تحليل الأحمال,تصميم الأساسات,تخطيط الطرق والشوارع,تصميم الأجهزة الكهربائية,C
ما هي الأدوار الرئيسية للمهندس المدني؟,التصميم والتحليل,التسويق والمبيعات,الإدارة والتنفيذ,التصوير والتصميم الجرافيكي,A
ما هي أهمية الاستدامة في مجال الهندسة المدنية؟,تحقيق الربح,الحفاظ على الموارد الطبيعية,زيادة الإنتاجية,تقليل التكاليف,B
ما هي الوظيفة الرئيسية للخرسانة المسلحة؟,تحمل الأحمال,توجيه الضغط,تحمل الشد,تحمل العزوم,A
ما هي الفوائد الرئيسية لشبكات مجاري الصرف الصحي؟,تصريف المياه العادمة,تنقية المياه,تخزين المياه النظيفة,تصريف المياه النظيفة,A
ما هو المصطلح الذي يشير إلى القوة في الهندسة الهيدروليكية؟,طاقة,ضغط,تدفق,رطوبة,B
في الهندسة الجيوتقنية، ما هو العامل الذي يتم قياسه لتحديد الخصائص الجيوتقنية للتربة؟,اللزوجة,الكثافة,المسامية,التوصيل الحراري,C
ما هو العنصر الإنشائي الذي يتم استخدامه لدعم الأحمال في الهندسة الإنشائية؟,الأساس,العمود,الجسر,الجدار,B
في الهندسة الجيوتقنية، ما هو المصطلح الذي يستخدم لوصف الاختبارات التي تجرى على عينات التربة؟,اختبارات الضغط,اختبارات الشد,اختبارات القص,اختبارات الرص,C
ما هي الوحدة التي تستخدم لقياس الضغط في الهندسة الهيدروليكية؟,باسكال,جول,واط,نيوتن,A
في الهندسة الإنشائية، ما هو الغرض من استخدام الأعمدة؟,الزينة,حمل الأحمال الرأسية,توفير الظل,التهوية,B
ما هو الاختبار الذي يتم إجراؤه لتحديد قوة التربة في الهندسة الجيوتقنية؟,اختبار الانضغاط,اختبار الشد,اختبار الرطوبة,اختبار الصدم,A
ما هو المكون الأساسي في الهندسة الهيدروليكية الذي يتحكم في تدفق السوائل؟,المضخة,الصمام,الخزان,الأنبوب,B
في الهندسة الإنشائية، ما هو العنصر الذي يتم استخدامه لنقل الأحمال إلى الأساسات؟,الجدران,الأسقف,الأعمدة,الكمرات,C
ما هو العامل الذي يؤثر على استقرار المنحدرات في الهندسة الجيوتقنية؟,التعرية,الزلازل,المياه الجوفية,جميع ما ذكر,D
ما الذي يتم قياسه في الهندسة الجيوتقنية لتحديد خصائص التربة؟,الكثافة,المرونة,المسامية,اللزوجة,C
ما هو الهدف من إجراء اختبارات القص في الهندسة الجيوتقنية؟,تحديد اللزوجة,تحديد الكثافة,تحديد قوة التربة,تحديد الرطوبة,C
في الهندسة الهيدروليكية، ما هو العنصر الأساسي لنقل السوائل؟,المضخة,الصمام,الخزان,الأنبوب,D
ما هي العوامل التي تؤثر على استقرار المنحدرات في الهندسة الجيوتقنية؟,التعرية والزلازل,المياه الجوفية والتعرية,الزلازل والرطوبة,جميع ما ذكر,D
