question,A,B,C,D,answer
ما هو قانون أوم؟,V = IR,P = IV,F = ma,E = mc²,A
ما هي وحدة قياس القدرة الكهربائية؟,فولت,أمبير,واط,جول,C
ما هو الفرق بين التيار المستمر والتيار المتردد؟,اتجاه التدفق,شدة التيار,نوع المصدر,الجهد الكهربائي,A
ما هو دور المكثف في الدوائر الكهربائية؟,توليد التيار,تخزين الشحنة,قياس الجهد,تحويل الطاقة,B
ما هي وظيفة الملف في الدوائر الكهربائية؟,تخزين الطاقة المغناطيسية,قياس التيار,توليد الحرارة,تنظيم الجهد,A
ما هو مبدأ عمل المحول الكهربائي؟,الحث الكهرومغناطيسي,التأثير الكهروضوئي,التحليل الكهربائي,الانشطار النووي,A
ما هي وحدة قياس السعة الكهربائية؟,فاراد,هنري,أوم,تسلا,A
ما هو قانون كيرشوف للتيار؟,مجموع التيارات الداخلة يساوي مجموع التيارات الخارجة,التيار يساوي الجهد مقسوماً على المقاومة,الطاقة لا تفنى ولا تستحدث,القوة تساوي الكتلة في التسارع,A
ما هو الترانزستور؟,مقاوم متغير,مكثف كهربائي,أداة شبه موصلة للتحكم في التيار,محول كهربائي,C
ما هي وظيفة الدايود في الدوائر الكهربائية؟,تنظيم الجهد,السماح بمرور التيار في اتجاه واحد,تخزين الشحنة,قياس المقاومة,B
ما هو مبدأ عمل المولد الكهربائي؟,تحويل الطاقة الحرارية إلى كهربائية,تحويل الطاقة الكيميائية إلى كهربائية,تحويل الطاقة الميكانيكية إلى كهربائية,تحويل الطاقة النووية إلى كهربائية,C
ما هي وحدة قياس التردد؟,هرتز,واط,فولت,أمبير,A
ما هو الفرق بين الموصل والعازل؟,الكثافة,اللون,القدرة على نقل الشحنات الكهربائية,درجة الانصهار,C
ما هو مبدأ عمل البطارية؟,التأثير الكهروضوئي,التفاعل الكيميائي,الانشطار النووي,الحث الكهرومغناطيسي,B
ما هي وظيفة المنصهر (الفيوز) في الدوائر الكهربائية؟,زيادة التيار,تخزين الطاقة,حماية الدائرة من التيار الزائد,قياس الجهد,C
