question,A,B,C,D,answer
ما العنصر الذي يتم تحديثه في عملية تطوير البرمجيات؟,المنتج,الميزانية,الجدول الزمني,المواصفات,A
ما الأدوات التي تدعم منهجيات محددة في تطوير البرمجيات؟,أدوات التصميم,أدوات التطوير,أدوات الاختبار,أدوات الإدارة,B
ما العملية التي تتم في الخلفية وتعتبر جزءاً من أمن المعلومات؟,المراقبة,التحليل,التدقيق,التصديق,C
ما الدور الذي يلعبه المهندس في تطوير البرمجيات؟,محلل,مطور,مختبر,مدير مشروع,B
ما العملية التي تتم على البيانات في أمن المعلومات؟,التخزين,النقل,التحليل,التشفير,B
ما الأداة التي تستخدم للتحكم في الوصول في أمن المعلومات؟,جدار الحماية,برنامج مكافحة الفيروسات,نظام التشغيل,الشبكة الخاصة الافتراضية,A
ما العنصر الذي يتم تحديثه في شبكة الحاسوب؟,البروتوكولات,الأجهزة,البرمجيات,التوصيلات,C
ما العملية التي تتم على البيانات في شبكة الحاسوب؟,التخزين,النقل,التحليل,التشفير,B
ما الأداة التي تستخدم للتحكم في الوصول في شبكة الحاسوب؟,جدار الحماية,برنامج مكافحة الفيروسات,نظام التشغيل,الشبكة الخاصة الافتراضية,A
ما العنصر الذي يتم تحديثه في لوحة الأم؟,المعالج,الذاكرة,البيوس,الشرائح,C
ما العملية التي تتم على البيانات في لوحة الأم؟,التخزين,النقل,التحليل,التشفير,B
ما الأداة التي تستخدم للتحكم في الوصول في لوحة الأم؟,جدار الحماية,برنامج مكافحة الفيروسات,نظام التشغيل,الشبكة الخاصة الافتراضية,A
ما العنصر الذي يتم تحديثه في مهندس البرمجيات؟,المنتج,الميزانية,الجدول الزمني,المواصفات,A
ما العملية التي تتم على البيانات في مهندس البرمجيات؟,التخزين,النقل,التحليل,التشفير,B
ما الأداة التي تستخدم للتحكم في الوصول في مهندس البرمجيات؟,جدار الحماية,برنامج مكافحة الفيروسات,نظام التشغيل,الشبكة الخاصة الافتراضية,A
ما العنصر الذي يتم تحديثه في عتاد الحاسوب؟,البروتوكولات,الأجهزة,البرمجيات,التوصيلات,B
ما العملية التي تتم على البيانات في عتاد الحاسوب؟,التخزين,النقل,التحليل,التشفير,B
ما الأداة التي تستخدم للتحكم في الوصول في عتاد الحاسوب؟,جدار الحماية,برنامج مكافحة الفيروسات,نظام التشغيل,الشبكة الخاصة الافتراضية,A
ما العنصر الذي يتم تحديثه في أمن المعلومات؟,السياسات,الإجراءات,التقنيات,التدريب,C
ما العملية التي تتم على البيانات في أمن المعلومات؟,التخزين,النقل,التحليل,التشفير,D
ما هي العملية التي تضمن سلامة المعلومات في أمن المعلومات؟,التشفير,التخزين,النقل,التحليل,A
ما هو العنصر الأساسي في تطوير البرمجيات؟,التصميم,التحليل,الاختبار,التوثيق,A
ما هو الهدف من استخدام أدوات تدعم منهجيات محددة في تطوير البرمجيات؟,تحسين الأداء,تقليل التكاليف,زيادة الكفاءة,تسريع الإنتاج,C
