{'question': 'What is the value of pi?', 'A': '3.14159', 'B': '2.71828', 'C': '1.41421', 'D': '1.61803', 'answer': 'A'}
{'question': 'What is the square root of 16?', 'A': '2', 'B': '4', 'C': '8', 'D': '16', 'answer': 'B'}
{'question': 'What is the result of 5+7?', 'A': '11', 'B': '12', 'C': '13', 'D': '14', 'answer': 'B'}
{'question': 'What is the result of 9-4?', 'A': '3', 'B': '4', 'C': '5', 'D': '6', 'answer': 'C'}
{'question': 'What is the result of 7*6?', 'A': '36', 'B': '42', 'C': '48', 'D': '54', 'answer': 'B'}
{'question': 'What is the result of 36/6?', 'A': '5', 'B': '6', 'C': '7', 'D': '8', 'answer': 'B'}
{'question': 'What is the remainder of 17 divided by 5?', 'A': '1', 'B': '2', 'C': '3', 'D': '4', 'answer': 'B'}
{'question': 'What is the value of x in the equation 2x = 10?', 'A': '3', 'B': '4', 'C': '5', 'D': '6', 'answer': 'C'}
{'question': 'What is the value of y in the equation 4y + 3 = 15?', 'A': '2', 'B': '3', 'C': '4', 'D': '5', 'answer': 'B'}
{'question': 'What is the value of z in the equation 3z - 2 = 7?', 'A': '2', 'B': '3', 'C': '4', 'D': '5', 'answer': 'B'}
{'question': 'What is the area of a rectangle with length 7 and width 3?', 'A': '18', 'B': '21', 'C': '24', 'D': '27', 'answer': 'B'}
{'question': 'What is the perimeter of a rectangle with length 7 and width 3?', 'A': '18', 'B': '20', 'C': '22', 'D': '24', 'answer': 'B'}
{'question': 'What is the area of a circle with radius 3 (use pi = 3.14)?', 'A': '18.84', 'B': '28.26', 'C': '37.68', 'D': '47.1', 'answer': 'B'}
{'question': 'What is the circumference of a circle with radius 3 (use pi = 3.14)?', 'A': '12.56', 'B': '18.84', 'C': '25.12', 'D': '31.4', 'answer': 'B'}
{'question': 'What is the volume of a cube with side length 3?', 'A': '9', 'B': '18', 'C': '27', 'D': '36', 'answer': 'C'}
{'question': 'What is the volume of a rectangular prism with length 3, width 2, and height 4?', 'A': '18', 'B': '24', 'C': '30', 'D': '36', 'answer': 'B'}
{'question': 'What is the value of x in the equation 3x^2 = 27?', 'A': '2', 'B': '3', 'C': '4', 'D': '5', 'answer': 'B'}
