question,A,B,C,D,answer
ما هي العناصر الأكثر شيوعًا في القشرة الأرضية؟,الألومنيوم,السليكون,الكالسيوم,البرونز,A
ما هي العنصر الأكثر شيوعًا في الجسم البشري؟,الكالسيوم,البرونز,الفوسفور,الكربون,D
ما هي الأشكال الأكثر شيوعًا للمركبات الكيميائية؟,المركبات العضوية,المركبات الغير عضوية,المركبات الأحادية,المركبات المتعددة العناصر,A
ما هي الكيمياء العضوية؟,فرع من الكيمياء الجزيئية التي تدرس المركبات العضوية,فرع من الكيمياء الجزيئية التي تدرس المركبات الغير عضوية,فرع من الكيمياء العامة التي تدرس جميع المركبات,فرع من الكيمياء العامة التي تدرس المواد المعدنية,A
ما هو عدد إلكترونات الأولى للكربون؟,1,2,3,4,B
ما هي المركبات المعدنية الأكثر شيوعًا؟,الأكسجينات,الكربونات,النترات,الكلوريد,A
ما هي المركبات الأكسجينات؟,المركبات التي تحتوي على ذرات الأكسجين,المركبات التي تحتوي على ذرات الكربون,المركبات التي تحتوي على ذرات الهيدروجين,المركبات التي تحتوي على ذرات الأزوت,A
ما هي المركبات الكربونات؟,المركبات التي تحتوي على ذرات الكربون,المركبات التي تحتوي على ذرات الأكسجين,المركبات التي تحتوي على ذرات الهيدروجين,المركبات التي تحتوي على ذرات الأزوت,A
ما هي المركبات النترات؟,المركبات التي تحتوي على ذرات النيتروجين,المركبات التي تحتوي على ذرات الأكسجين,المركبات التي تحتوي على ذرات الهيدروجين,المركبات التي تحتوي على ذرات الأزوت,A
ما هي المركبات الكلوريدات؟,المركبات التي تحتوي على ذرات الكلور,المركبات التي تحتوي على ذرات الأكسجين,المركبات التي تحتوي على ذرات الهيدروجين,المركبات التي تحتوي على ذرات الأزوت,A
ما هي المركبات الأزوتية؟,المركبات التي تحتوي على ذرات الأزوت,المركبات التي تحتوي على ذرات الأكسجين,المركبات التي تحتوي على ذرات الهيدروجين,المركبات التي تحتوي على ذرات الكربون,A
ما هي المركبات الأحادية؟,المركبات التي تحتوي على ذرة واحدة,المركبات التي تحتوي على عدة ذرات,المركبات التي تحتوي على ذرات متنوعة,المركبات التي تحتوي على ذرات واحدة وعدة ذرات,A
ما هي المركبات المتعددة العناصر؟,المركبات التي تحتوي على ذرة واحدة,المركبات التي تحتوي على عدة ذرات,المركبات التي تحتوي على ذرات متنوعة,المركبات التي تحتوي على ذرات واحدة وعدة ذرات,B
ما هي العملية الكيميائية للاحتراق؟,تحول المواد العضوية إلى أكسجين وماء,تحول المواد العضوية إلى كربون وماء,تحول المواد العضوية إلى كربون وهيدروجين,تحول المواد العضوية إلى أكسجين وهيدروجين,A
ما هي العملية الكيميائية للانصهار؟,تحول المواد العضوية إلى حالة الغاز,تحول المواد العضوية إلى حالة السائل,تحول المواد العضوية إلى حالة الصلصال,تحول المواد العضوية إلى حالة الجاف,B
ما هي المركبات الأكسجينات الأكثر شيوعًا؟,الكلسيت,الكاربونات الكالسيومية,السودا,الحجر الجيري,A
ما هي المركبات الغير عضوية؟,المركبات التي تحتوي على ذرات الكربون,المركبات التي لا تحتوي على ذرات الكربون,المركبات التي تحتوي على ذرات الهيدروجين,المركبات التي تحتوي على ذرات الأكسجين,B
ما هي المركبات المعدنية؟,المركبات التي تحتوي على ذرات الكربون,المركبات التي لا تحتوي على ذرات الكربون,المركبات التي تحتوي على ذرات الهيدروجين,المركبات التي تحتوي على ذرات الأكسجين,B
ما هي المركبات المعدنية الأكثر شيوعًا؟,الأكسجينات,الكربونات,النترات,الكلوريد,A
ما هي المركبات الأكسجينات الأكثر شيوعًا؟,الكلسيت,الكاربونات الكالسيومية,السودا,الحجر الجيري,A
ما هي طريقة اختبار الرصاص في الكيمياء؟,التفاعل مع الكبريت,التفاعل مع الأكسجين,التفاعل مع الكبريتات,التفاعل مع النحاس,C
ما هي نوعين من البرازة في المواد المعدنية؟,البرازة العضوية,البرازة المعدنية,البرازة المغناطيسية,البرازة الكهروكيميائية,B
ما هي طريقة استخراج المعادن من التربة؟,التعدين البالغرافي,التعدين البحري,التعدين الجوفي,التعدين السطحي,C
ما هي أصل الكيمياء العضوية؟,الهيكل المعروف,التفاعل الكيميائي,التوائم الفيزيائية,الاتصال المادي,B
ما هي الطبقة الأولى من الأتموسفير في بنية العملات؟,الطبقة النائبة,الطبقة التعاملية,الطبقة المعرفية,الطبقة الملكية,A
ما هي تركيبة هيدروجين المدرفل؟,H2O,H2SO4,NH3,CH4,D
ما هي صيغة الإيثانول؟,C2H4,C2H2,C2H6,C2H8,A
ما هي صيغة بوليمر الإيثيلين؟,C2H4,C2H2,C2H6,C2H8,A
ما هي التصنيف الرئيسي للمواد الكيميائية؟,من حيث التأثير الكيميائي,من حيث الحالة المادية,من حيث الكمية الموجبة,من حيث الكمية السالبة,B
ما هي صيغة بوليمر البروبلين؟,C3H6,C3H8,C3H10,C3H12,C
ما هي صيغة بوليمر الهيدروجين المدرفل؟,CH4,C2H4,C2H6,C2H8,C
ما هي صيغة الأكسجين؟,O2,O3,O4,O5,A
ما هي صيغة النيتروجين؟,N2,N3,N4,N5,A
ما هي صيغة الكربون؟,C2,C3,C4,C5,A
ما هي صيغة بوليمر البوليمر البتادين؟,C4H8,C4H10,C4H12,C4H14,B
ما هي صيغة الأكسيد الكربوني؟,CO,CO2,CO3,CO4,B
ما هي صيغة بوليمر البتادين السكولين؟,C4H8,C4H10,C4H12,C4H14,B
ما هي صيغة بوليمر البتادين السيليكوني؟,C4H8,C4H10,C4H12,C4H14,B
ما هي صيغة بوليمر البتادين الهيدروكربوناتي؟,C4H8,C4H10,C4H12,C4H14,B
ما رقم المجموعة الذي تنتمي إليه الهلوجينات؟,13,15,17,19,C
أين توجد العناصر التي لها نفس عدد الإلكترونات في مستوى الطاقة الخارجي؟,في نفس الصف,في نفس العمود,في نفس الفترة,في نفس الكتلة,B
ما ترتيب العناصر في الجدول الدوري؟,حسب العدد الذري,حسب الكتلة الذرية,حسب التوزيع الإلكتروني,حسب النقطة الثلاثية,A
