question,A,B,C,D,answer
ما هو الغرض من استخدام نظام التعليق في مركبة؟,تحسين الراحة,تحسين المناولة,تقليل الاهتزازات,جميع الإجابات صحيحة,D
ما هي العملية التي تحدث عند تحويل الطاقة الميكانيكية إلى طاقة كهربائية؟,التحويل الكهروميكانيكي,التحويل الكهروكيميائي,التحويل الكهرومغناطيسي,التحويل الكهروضوئي,A
ما هي المادة الأكثر شيوعًا المستخدمة في صنع الموصلات؟,الذهب,الفضة,النحاس,الألمنيوم,C
ما هو نوع المحرك الذي يحول الطاقة الكهربائية إلى طاقة حركية؟,المحرك الكهربائي,المحرك الحراري,المحرك الاحتراقي,محرك الديزل,A
ما هو قانون نيوتن الثاني للحركة؟,القوة تساوي الكتلة مضروبة في التسارع,التسارع يتناسب طرديًا مع القوة المؤثرة,الفعل ورد الفعل متساويان في المقدار ومتعاكسان في الاتجاه,كل ما سبق,D
ما هي الوحدة القياسية للتسارع في النظام الدولي للوحدات؟,متر لكل ثانية مربعة,كيلوغرام لكل متر مكعب,نيوتن لكل متر,جول لكل كيلوغرام,A
ما هي الطاقة اللازمة لنقل جسم من حالة السكون إلى حالة الحركة؟,طاقة الوضع,طاقة الحركة,الطاقة الكامنة,الطاقة الحركية,B
ما هو نوع الطاقة المخزنة في جسم متحرك؟,طاقة الوضع,طاقة الحركة,الطاقة الكامنة,طاقة حرارية,B
ما هو القانون الذي يصف العلاقة بين طاقة الوضع وإحداثيات جسيم؟,قانون نيوتن الأول للحركة,قانون نيوتن الثاني للحركة,قانون نيوتن الثالث للحركة,قانون الحفاظ على الطاقة,D
ما هو نوع التفاعل الذي يحدث بين جسيمين مشحونين؟,القوة الكهرومغناطيسية,القوة النووية القوية,القوة النووية الضعيفة,قوة الجاذبية,A
ما هو اسم الجهاز المستخدم لقياس التيار الكهربائي؟,المقياس الكهربائي,المحول,المكثف,المقاوم,A
ما هي وحدة قياس الجهد الكهربائي في النظام الدولي للوحدات؟,أمبير,فولت,أوم,واط,B
ما هو قانون أوم؟,التيار يتناسب طرديًا مع الجهد ويُعاكس الجهد في الاتجاه,التيار يتناسب عكسيًا مع الجهد ويُعاكس الجهد في الاتجاه,التيار يتناسب طرديًا مع الجهد ويسير في نفس اتجاه الجهد,التيار يتناسب عكسيًا مع الجهد ويسير في نفس اتجاه الجهد,C
ما هو مبدأ عمل المحرك الكهربائي؟,التفاعل بين المجال المغناطيسي الناتج عن التيار الكهربائي والمجال المغناطيسي الدائم,التفاعل بين المجالين الكهربائيين الناتجين عن التيارين الكهربائيين,التفاعل بين المجال المغناطيسي الناتج عن التيار الكهربائي والمجال الكهربائي الدائم,التفاعل بين المجالين المغناطيسيين الناتجين عن التيارين الكهربائيين,A
ما هو نوع الطاقة التي يتم تحويلها في محرك احتراق داخلي؟,الطاقة الكهربائية إلى طاقة حركية,الطاقة الكيميائية إلى طاقة حركية,الطاقة النووية إلى طاقة حركية,الطاقة الحرارية إلى طاقة حركية,B
ما هي المادة الأساسية المستخدمة في صنع محركات السيارة؟,الحديد,الألمنيوم,الصلب,المغنيسيوم,C
ما هو الغرض من نظام التعليق في السيارة؟,امتصاص الصدمات والحفاظ على توازن السيارة,دفع السيارة إلى الأمام,توجيه السيارة,إيقاف السيارة,A
ما هو نوع ناقل الحركة المستخدم في معظم السيارات ذات الدفع بالعجلات الأمامية؟,نقل حركة أمامي,نقل حركة خلفي,نقل حركة كامل,نقل حركة ثنائي,A
ما هو مبدأ عمل نظام الفرامل؟,تحويل الطاقة الحركية إلى طاقة حرارية,تحويل الطاقة الحركية إلى طاقة كهربائية,تحويل الطاقة الحركية إلى طاقة كيميائية,تحويل الطاقة الحركية إلى طاقة نووية,A
ما هي المادة المستخدمة في صنع بطاريات السيارات؟,الرصاص,الليثيوم,النيكل,الكادميوم,A
ما هو نوع الطائرة التي تستخدم في معظم الرحلات الجوية التجارية؟,طائرة نفاثة,طائرة مروحية,طائرة شراعية,طائرة برمائية,A
